Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T029F_S195_L001_R1_001	T029F_S195_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2844470.0	287.2 Mbp	0.0	101.0	36.0	79.31893790835154	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029F_S195_L002_R1_001	T029F_S195_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2848790.0	287.7 Mbp	0.0	101.0	36.0	79.74696219751667	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029G_S207_L001_R1_001	T029G_S207_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2719136.0	274.6 Mbp	0.0	101.0	34.0	86.61796419353067	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T029G_S207_L002_R1_001	T029G_S207_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2740726.0	276.8 Mbp	0.0	101.0	34.0	86.6522432443006	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030F_S196_L001_R1_001	T030F_S196_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3281144.0	331.3 Mbp	0.0	101.0	32.0	78.0821051298748	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030F_S196_L002_R1_001	T030F_S196_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3297256.0	333 Mbp	0.0	101.0	32.0	78.57389630075276	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030G_S208_L001_R1_001	T030G_S208_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2809175.0	283.7 Mbp	0.0	101.0	35.0	85.67389185977437	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T030G_S208_L002_R1_001	T030G_S208_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2828862.0	285.7 Mbp	0.0	101.0	35.0	85.86255651528921	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T031F_S197_L001_R1_001	T031F_S197_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3101957.0	313.2 Mbp	0.0	101.0	34.0	79.38760678771584	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T031F_S197_L002_R1_001	T031F_S197_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3111395.0	314.2 Mbp	0.0	101.0	34.0	79.75533123695855	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T031G_S209_L001_R1_001	T031G_S209_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2103661.0	212.4 Mbp	0.0	101.0	35.0	85.98848747513212	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T031G_S209_L002_R1_001	T031G_S209_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2116926.0	213.8 Mbp	0.0	101.0	35.0	86.22480495597723	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T033F_S198_L001_R1_001	T033F_S198_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3685047.0	372.1 Mbp	0.0	101.0	31.0	78.75954214894796	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T033F_S198_L002_R1_001	T033F_S198_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3709086.0	374.6 Mbp	0.0	101.0	31.0	79.06608313624632	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T033G_S210_L001_R1_001	T033G_S210_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2212975.0	223.5 Mbp	0.0	101.0	34.0	85.12812283288898	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T033G_S210_L002_R1_001	T033G_S210_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2218430.0	224 Mbp	0.0	101.0	34.0	85.21370857057208	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T034F_S199_L001_R1_001	T034F_S199_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3102203.0	313.3 Mbp	0.0	101.0	34.0	77.59201756472034	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T034F_S199_L002_R1_001	T034F_S199_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3114312.0	314.5 Mbp	0.0	101.0	34.0	78.29052215577276	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T034G_S211_L001_R1_001	T034G_S211_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2725728.0	275.2 Mbp	0.0	101.0	35.0	85.35132328006696	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T034G_S211_L002_R1_001	T034G_S211_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2735134.0	276.2 Mbp	0.0	101.0	35.0	85.43810422666897	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T035F_S200_L001_R1_001	T035F_S200_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2874043.0	290.2 Mbp	0.0	101.0	34.0	79.3967111894448	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T035F_S200_L002_R1_001	T035F_S200_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2881550.0	291 Mbp	0.0	101.0	34.0	79.84356107493741	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T035G_S212_L001_R1_001	T035G_S212_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2352044.0	237.5 Mbp	0.0	101.0	34.0	85.17805659152422	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T035G_S212_L002_R1_001	T035G_S212_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2352537.0	237.6 Mbp	0.0	101.0	34.0	85.22541910145239	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T036F_S201_L001_R1_001	T036F_S201_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2687632.0	271.4 Mbp	0.0	101.0	32.0	76.40697430487991	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T036F_S201_L002_R1_001	T036F_S201_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2697260.0	272.4 Mbp	0.0	101.0	32.0	77.13204902623903	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T036G_S213_L001_R1_001	T036G_S213_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2326514.0	234.9 Mbp	0.0	101.0	35.0	85.58561472891571	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T036G_S213_L002_R1_001	T036G_S213_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2333114.0	235.6 Mbp	0.0	101.0	35.0	85.84347595643526	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T037F_S202_L001_R1_001	T037F_S202_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3070155.0	310 Mbp	0.0	101.0	33.0	75.09604152188416	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T037F_S202_L002_R1_001	T037F_S202_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3085021.0	311.5 Mbp	0.0	101.0	33.0	75.43260632740669	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T037G_S214_L001_R1_001	T037G_S214_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2282393.0	230.5 Mbp	0.0	101.0	35.0	86.1638833706407	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T037G_S214_L002_R1_001	T037G_S214_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2290132.0	231.3 Mbp	0.0	101.0	35.0	86.32565165504025	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	warn	fail
T038F_S203_L001_R1_001	T038F_S203_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2808821.0	283.6 Mbp	0.0	101.0	35.0	77.74914268318778	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T038F_S203_L002_R1_001	T038F_S203_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2818366.0	284.6 Mbp	0.0	101.0	35.0	78.26946454668622	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T038G_S215_L001_R1_001	T038G_S215_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2958753.0	298.8 Mbp	0.0	101.0	35.0	84.87689727644117	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T038G_S215_L002_R1_001	T038G_S215_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2970710.0	300 Mbp	0.0	101.0	35.0	85.22463207337859	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T039F_S204_L001_R1_001	T039F_S204_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3719296.0	375.6 Mbp	0.0	101.0	33.0	78.38285454416301	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T039F_S204_L002_R1_001	T039F_S204_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3746227.0	378.3 Mbp	0.0	101.0	33.0	78.87176011226788	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T039G_S216_L001_R1_001	T039G_S216_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2165658.0	218.7 Mbp	0.0	101.0	35.0	84.21648051915308	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T039G_S216_L002_R1_001	T039G_S216_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2170518.0	219.2 Mbp	0.0	101.0	35.0	84.46113318724868	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T040F_S205_L001_R1_001	T040F_S205_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3914369.0	395.3 Mbp	0.0	101.0	32.0	80.87122335221054	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T040F_S205_L002_R1_001	T040F_S205_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3937719.0	397.7 Mbp	0.0	101.0	32.0	81.1386627907949	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T040G_S217_L001_R1_001	T040G_S217_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2761646.0	278.9 Mbp	0.0	101.0	35.0	84.0470920874901	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T040G_S217_L002_R1_001	T040G_S217_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2770551.0	279.8 Mbp	0.0	101.0	35.0	84.50046488703691	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T041F_S206_L001_R1_001	T041F_S206_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3745302.0	378.2 Mbp	0.0	101.0	33.0	77.08117094775223	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T041F_S206_L002_R1_001	T041F_S206_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3763219.0	380 Mbp	0.0	101.0	33.0	77.6635322237535	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T041G_S218_L001_R1_001	T041G_S218_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2727780.0	275.5 Mbp	0.0	101.0	36.0	84.76578485138849	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T041G_S218_L002_R1_001	T041G_S218_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2725683.0	275.2 Mbp	0.0	101.0	36.0	85.05934099640207	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T046F_S148_L001_R1_001	T046F_S148_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3425321.0	345.9 Mbp	0.0	101.0	33.0	76.26210922876598	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T046F_S148_L002_R1_001	T046F_S148_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3440377.0	347.4 Mbp	0.0	101.0	33.0	76.55123688088707	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T046G_S159_L001_R1_001	T046G_S159_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2815108.0	284.3 Mbp	0.0	101.0	35.0	84.3284597898836	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T046G_S159_L002_R1_001	T046G_S159_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2823294.0	285.1 Mbp	0.0	101.0	35.0	84.42126279220842	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T047G_S160_L001_R1_001	T047G_S160_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3002082.0	303.2 Mbp	0.0	101.0	35.0	85.13701137600039	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T047G_S160_L002_R1_001	T047G_S160_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3007348.0	303.7 Mbp	0.0	101.0	34.0	85.33457677671905	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T049F_S149_L001_R1_001	T049F_S149_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4146396.0	418.7 Mbp	0.0	101.0	31.0	73.34290489076236	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T049F_S149_L002_R1_001	T049F_S149_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4169280.0	421 Mbp	0.0	101.0	31.0	73.88811780521127	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T049G_S161_L001_R1_001	T049G_S161_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2540255.0	256.5 Mbp	0.0	101.0	34.0	85.57505409785028	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T049G_S161_L002_R1_001	T049G_S161_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2550471.0	257.5 Mbp	0.0	101.0	34.0	85.89054315860398	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T051F_S150_L001_R1_001	T051F_S150_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2301323.0	232.4 Mbp	0.0	101.0	37.0	55.732702839412916	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
T051F_S150_L002_R1_001	T051F_S150_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2302287.0	232.5 Mbp	0.0	101.0	37.0	56.291907156988344	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
T051G_S162_L001_R1_001	T051G_S162_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2388054.0	241.1 Mbp	0.0	101.0	41.0	35.83545263044132	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
T051G_S162_L002_R1_001	T051G_S162_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2366784.0	239 Mbp	0.0	101.0	41.0	36.69353019413275	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
T052F_S151_L001_R1_001	T052F_S151_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3880936.0	391.9 Mbp	0.0	101.0	32.0	76.38858127782184	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T052F_S151_L002_R1_001	T052F_S151_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3897835.0	393.6 Mbp	0.0	101.0	32.0	76.74754755075845	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T052G_S163_L001_R1_001	T052G_S163_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2297756.0	232 Mbp	0.0	101.0	35.0	85.81169321268848	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T052G_S163_L002_R1_001	T052G_S163_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2303220.0	232.6 Mbp	0.0	101.0	35.0	85.88379329111379	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T055F_S152_L001_R1_001	T055F_S152_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3617976.0	365.4 Mbp	0.0	101.0	33.0	77.29539560753554	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T055F_S152_L002_R1_001	T055F_S152_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3632843.0	366.9 Mbp	0.0	101.0	33.0	77.53847664557517	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T055G_S164_L001_R1_001	T055G_S164_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2697703.0	272.4 Mbp	0.0	101.0	34.0	86.66068706830096	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T055G_S164_L002_R1_001	T055G_S164_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2698621.0	272.5 Mbp	0.0	101.0	34.0	86.76902241405558	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T056F_S153_L001_R1_001	T056F_S153_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2833353.0	286.1 Mbp	0.0	101.0	34.0	78.4468500453719	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T056F_S153_L002_R1_001	T056F_S153_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2844227.0	287.2 Mbp	0.0	101.0	34.0	79.00958269626726	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T056G_S165_L001_R1_001	T056G_S165_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2765818.0	279.3 Mbp	0.0	101.0	34.0	85.98429667448254	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T056G_S165_L002_R1_001	T056G_S165_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2780934.0	280.8 Mbp	0.0	101.0	34.0	86.02460142579626	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T057F_S154_L001_R1_001	T057F_S154_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4332091.0	437.5 Mbp	0.0	101.0	32.0	75.32249452383753	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T057F_S154_L002_R1_001	T057F_S154_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4365669.0	440.9 Mbp	0.0	101.0	32.0	75.70455988257588	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T057G_S166_L001_R1_001	T057G_S166_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3182695.0	321.4 Mbp	0.0	101.0	33.0	84.78782928629221	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T057G_S166_L002_R1_001	T057G_S166_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3196879.0	322.8 Mbp	0.0	101.0	33.0	85.03890442575384	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T058F_S155_L001_R1_001	T058F_S155_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3782315.0	382 Mbp	0.0	101.0	32.0	79.47809005589185	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T058F_S155_L002_R1_001	T058F_S155_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3800281.0	383.8 Mbp	0.0	101.0	32.0	79.91622310898053	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T058G_S167_L001_R1_001	T058G_S167_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3385445.0	341.9 Mbp	0.0	101.0	33.0	85.43182912701769	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T058G_S167_L002_R1_001	T058G_S167_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3400470.0	343.4 Mbp	0.0	101.0	33.0	85.53942072734266	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T110F_S156_L001_R1_001	T110F_S156_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3282626.0	331.5 Mbp	0.0	101.0	32.0	79.36199376064424	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T110F_S156_L002_R1_001	T110F_S156_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3310930.0	334.4 Mbp	0.0	101.0	32.0	79.5727188685015	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T110G_S168_L001_R1_001	T110G_S168_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2701235.0	272.8 Mbp	0.0	101.0	34.0	86.05153354233606	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T110G_S168_L002_R1_001	T110G_S168_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2713666.0	274 Mbp	0.0	101.0	34.0	86.16932073546356	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T111F_S157_L001_R1_001	T111F_S157_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3898076.0	393.7 Mbp	0.0	101.0	30.0	76.4999307822082	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T111F_S157_L002_R1_001	T111F_S157_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3923749.0	396.2 Mbp	0.0	101.0	31.0	76.85200113559915	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T111G_S169_L001_R1_001	T111G_S169_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1594935.0	161 Mbp	0.0	101.0	35.0	87.19551130854873	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
T111G_S169_L002_R1_001	T111G_S169_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1599885.0	161.5 Mbp	0.0	101.0	35.0	87.42220243814364	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	fail
T112F_S158_L001_R1_001	T112F_S158_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3224927.0	325.7 Mbp	0.0	101.0	31.0	77.40984610388578	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T112F_S158_L002_R1_001	T112F_S158_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3234420.0	326.6 Mbp	0.0	101.0	32.0	77.90450890683884	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T112G_S170_L001_R1_001	T112G_S170_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3122481.0	315.3 Mbp	0.0	101.0	34.0	85.5892777391121	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T112G_S170_L002_R1_001	T112G_S170_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3138055.0	316.9 Mbp	0.0	101.0	34.0	85.5746430185921	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T118F_S181_L001_R1_001	T118F_S181_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2529271.0	255.4 Mbp	0.0	101.0	32.0	77.95106561902674	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T118F_S181_L002_R1_001	T118F_S181_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2540089.0	256.5 Mbp	0.0	101.0	32.0	78.32842385776718	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T118G_S193_L001_R1_001	T118G_S193_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2186349.0	220.8 Mbp	0.0	101.0	35.0	85.7950076344168	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T118G_S193_L002_R1_001	T118G_S193_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2182951.0	220.4 Mbp	0.0	101.0	35.0	85.94179114509791	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T119F_S182_L001_R1_001	T119F_S182_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3276838.0	330.9 Mbp	0.0	101.0	33.0	73.68057340066633	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T119F_S182_L002_R1_001	T119F_S182_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3296613.0	332.9 Mbp	0.0	101.0	33.0	74.1970118141969	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T119G_S194_L001_R1_001	T119G_S194_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2936038.0	296.5 Mbp	0.0	101.0	33.0	83.53676224270717	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T119G_S194_L002_R1_001	T119G_S194_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2944155.0	297.3 Mbp	0.0	101.0	33.0	84.16251414906903	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T126F_S124_L001_R1_001	T126F_S124_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3628442.0	366.4 Mbp	0.0	101.0	29.0	71.2598408015651	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T126F_S124_L002_R1_001	T126F_S124_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3654873.0	369.1 Mbp	0.0	101.0	29.0	71.96531002833468	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T126G_S136_L001_R1_001	T126G_S136_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2565076.0	259 Mbp	0.0	101.0	35.0	85.94725397709347	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
