Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T008FX_S226_L001_R1_001	T008FX_S226_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2532593.0	255.7 Mbp	0.0	101.0	33.0	76.29926944380856	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T008FX_S226_L002_R1_001	T008FX_S226_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2546922.0	257.2 Mbp	0.0	101.0	33.0	76.6301802083026	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T008F_S107_L001_R1_001	T008F_S107_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3609710.0	364.5 Mbp	0.0	101.0	35.0	70.35958837752538	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T008F_S107_L002_R1_001	T008F_S107_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3624593.0	366 Mbp	0.0	101.0	35.0	70.84470099143991	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T008G_S119_L001_R1_001	T008G_S119_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3747951.0	378.5 Mbp	0.0	101.0	34.0	83.21967801218008	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T008G_S119_L002_R1_001	T008G_S119_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3767026.0	380.4 Mbp	0.0	101.0	34.0	83.54551744344867	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T009FX_S227_L001_R1_001	T009FX_S227_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3247947.0	328 Mbp	0.0	101.0	32.0	75.1565379627823	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T009FX_S227_L002_R1_001	T009FX_S227_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3273443.0	330.6 Mbp	0.0	101.0	32.0	75.42998778109845	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T009F_S108_L001_R1_001	T009F_S108_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3224315.0	325.6 Mbp	0.0	101.0	32.0	73.17768491283061	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T009F_S108_L002_R1_001	T009F_S108_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3248743.0	328.1 Mbp	0.0	101.0	32.0	73.427542550027	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
