	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
105M_1 - illumina_universal_adapter	0.11839127514080286	0.12075746582096718	0.14066035606480376	0.14163264532610764	0.1488215628289341	0.156242797234904	0.15993297915474206	0.161865726723949	0.163064955182305	0.1667770781429955	0.17240667598759368	0.1790360969486831	0.18966029310262084	0.20239211982785404	0.2133385481307814	0.2242484080322881	0.2366121845526339	0.25161856584623593	0.2696738913853515	0.2916228912427993	0.318378699912879	0.35173123309101323	0.39363991176862145	0.44717368525787704	0.5165508262167818	0.6074661102877604	0.7274164899785479	0.8881894668247483	1.1025986086841821	1.391475428088529	1.776659865015705	2.2860495226930917	2.950837462640807	3.8084964013358826	4.892495030408024	5.641754686988143
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
105M_1 - polya	0.004978680299309354	0.006938316398972703	0.008979693631223546	0.011582503379404285	0.014248770059462157	0.017261361011798624	0.020769776465751337	0.024092123288945676	0.027134829395393325	0.03514201865706934	0.04824017472124069	0.061557741193936366	0.0740822035722897	0.08636811090843374	0.09856345767400057	0.11043850826477061	0.12253791675366899	0.13469002676226188	0.14671930996372995	0.1585724195136476	0.17029689433386172	0.18255182608291998	0.19380499874129412	0.2047133528850952	0.21578970656718802	0.22704180368434387	0.23834036418212845	0.24988070634577708	0.2619499996805642	0.2739347554755965	0.28560115107002476	0.2970599672093296	0.30851448118376135	0.3199926570649947	0.3308134621536297	0.3372187403248345
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
105M_1 - polyg	0.0	0.0	0.0004904467955249655	0.0008195624083114555	0.0011121096196772245	0.001403581289824737	0.001730545820174714	0.002031697361286535	0.0023016582070689174	0.0032973942669307877	0.005149476244768487	0.007117716674177888	0.008951729559548878	0.010846402969629533	0.012786894435607918	0.015163410311467488	0.05185657451350636	0.09522411729955778	0.10465661378366731	0.11134561972824816	0.12898062375926908	0.16223334671234907	0.19063602409582314	0.20615221192687877	0.21941471068919977	0.2334849409064313	0.25039223374917985	0.2693097131288499	0.28984760290794515	0.3129418390545924	0.33926506504668935	0.3710006295572967	0.41064120691384576	0.4609292121146467	0.5249602678940858	0.5700626586651849
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
105M_2 - illumina_universal_adapter	0.08753507313024204	0.08985393999680306	0.10966648477830611	0.11062264092133614	0.11775563028081328	0.1252220374179499	0.12893695678580788	0.13089013963816168	0.13218509126494252	0.1375417167483472	0.14990291196976918	0.16577273775338758	0.1824844972026571	0.19459423088725075	0.20440553298843023	0.21481010362559996	0.22712074840976387	0.24202387774641335	0.2598950706289634	0.2815997075216233	0.3080040293215768	0.34091021289413453	0.3823379095389385	0.4351203099331201	0.5029992219749936	0.5914887303823164	0.7088186614489438	0.8671052021067787	1.0781156337165219	1.3621503665562782	1.7414225534066983	2.243239970691072	2.8990561760125786	3.7464548817019745	4.820291582235785	5.56307884687268
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
105M_2 - polya	0.0003506264371516201	0.0011615845157170236	0.005605720829552896	0.01935113759887101	0.041566441461959085	0.06431951593417541	0.09066812469902323	0.12050256255224039	0.1532065443757659	0.26534806460552385	0.46029249171343894	0.64887057524225	0.8306847951576897	1.0118098082604707	1.193378589669904	1.3736904936116832	1.5520718010666916	1.7300323567971183	1.9083368706091435	2.0866977427810047	2.264916643512057	2.441750032045751	2.6187049567371075	2.7945114185156092	2.9696927757380616	3.1461624162317414	3.3244757494817563	3.5050214760843836	3.6854828802555004	3.8656416271277996	4.047018962200383	4.22861678322271	4.409555727694732	4.589944425279495	4.770809802732189	4.88063503739431
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
105M_2 - polyg	0.06426573887326259	0.06595326304470704	0.06621354401952512	0.0664168213097756	0.06656417045667674	0.06669431094408577	0.066854566585606	0.0670374085927096	0.06716970016255515	0.06764444405629358	0.06813446063533124	0.06838785814635247	0.06859801890039978	0.06883958545802019	0.06922850116254174	0.06975078397812709	0.0705105462947035	0.07152521188000668	0.07277370012615883	0.07418007782315103	0.07572520033729833	0.07755469594955264	0.13445061128707803	0.20724108985624165	0.22498429333381917	0.23466136789096023	0.24580332958736667	0.2621429517751195	0.28174791710149905	0.29730583593182297	0.3122657538447963	0.3279340232041134	0.34583102907590163	0.3666005904334093	0.3911749864046212	0.4077355247586039
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
106M_1 - illumina_universal_adapter	0.09850863550763923	0.1002031349122481	0.12031059041399712	0.12131868163732727	0.1292973272296166	0.1379227369663121	0.14207403397025029	0.14414118732146095	0.14554685160028422	0.1494165626737506	0.15509540105272587	0.16139676407927672	0.170560653105378	0.18166370187793007	0.19187034234245584	0.20253617402264226	0.21441964397819935	0.2279595550629677	0.24383891739792266	0.26255452739941537	0.28473819774651743	0.3116639745156351	0.3451527649546623	0.3874280331887644	0.4414139233776592	0.5119517653042209	0.6047953812114517	0.7292053915754224	0.8975450724665244	1.1259998381843683	1.4339139398865686	1.8467155158978759	2.3915781748521994	3.1007379556233934	4.003658759489834	4.638020436863467
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
106M_1 - polya	0.006491427866185427	0.008504212252542347	0.010663113231943747	0.013305671461190056	0.01594030088306186	0.01892946126325089	0.022387553965303605	0.025395970020545014	0.028186910216371378	0.03588510256495673	0.047827019157731625	0.05926783512443771	0.07059447626495088	0.08175144092764962	0.09319656110407329	0.10446770059296492	0.11603583055237021	0.12781260141440182	0.13964056971833738	0.1513690881240613	0.16348158734406484	0.1758140543343726	0.18728839782940518	0.19848296769279442	0.20969135633475067	0.22083767374183222	0.23198444422362088	0.24320959662974034	0.2547546197790828	0.266081260919596	0.27702505393259724	0.28789544884304596	0.2986908598894672	0.3095429052742778	0.3197910020745045	0.32586605428485155
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
