Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
105M_1	17.092269694156187	18.0	151.0	9.090909090909092	92976446.0
105M_2	7.351034116615125	20.0	151.0	18.181818181818183	92976446.0
106M_1	17.111631890930255	17.0	151.0	18.181818181818183	88285661.0
106M_2	8.8831487847375	20.0	151.0	18.181818181818183	88285661.0
107M_1	16.755697663164668	17.0	151.0	18.181818181818183	94606480.0
107M_2	8.187476253618186	20.0	151.0	18.181818181818183	94606480.0
109M_1	16.566364830271183	17.0	151.0	18.181818181818183	93271100.0
109M_2	8.208590053525839	20.0	151.0	18.181818181818183	93271100.0
239M_1	17.93898778859098	18.0	151.0	9.090909090909092	108112211.0
239M_2	8.675523992139915	20.0	151.0	18.181818181818183	108112211.0
240M_1	19.89285342240305	18.0	151.0	9.090909090909092	88519096.0
240M_2	7.836410714482383	21.0	151.0	18.181818181818183	88519096.0
241M_1	17.984314310434556	18.0	151.0	18.181818181818183	87063380.0
241M_2	7.8667466114810765	20.0	151.0	18.181818181818183	87063380.0
242M_1	22.429877625960245	19.0	151.0	18.181818181818183	86793768.0
242M_2	7.8839216589380925	22.0	151.0	18.181818181818183	86793768.0
269M_1	16.772989183738687	18.0	151.0	9.090909090909092	97006834.0
269M_2	7.796768022286827	20.0	151.0	18.181818181818183	97006834.0
270M_1	19.247394618059516	18.0	151.0	18.181818181818183	100010641.0
270M_2	8.637464608049768	20.0	151.0	18.181818181818183	100010641.0
271M_1	16.570194136536387	18.0	151.0	18.181818181818183	91576586.0
271M_2	7.874498281570581	20.0	151.0	18.181818181818183	91576586.0
272M_1	16.94203214738218	18.0	151.0	18.181818181818183	90421884.0
272M_2	8.124635798019824	20.0	151.0	18.181818181818183	90421884.0
69M_1	20.63320117082867	18.0	151.0	9.090909090909092	94269102.0
69M_2	8.271490015041465	21.0	151.0	18.181818181818183	94269102.0
70M_1	20.346481113862737	18.0	151.0	9.090909090909092	94386082.0
70M_2	8.4660841759231	21.0	151.0	18.181818181818183	94386082.0
71M_1	19.875680618847937	18.0	151.0	18.181818181818183	90830281.0
71M_2	8.604830612566914	20.0	151.0	18.181818181818183	90830281.0
72M_1	18.77156020407277	18.0	151.0	9.090909090909092	92276951.0
72M_2	8.369158703827281	20.0	151.0	18.181818181818183	92276951.0
78M_1	18.841666887078347	18.0	151.0	9.090909090909092	98070870.0
78M_2	8.402413471254079	20.0	151.0	18.181818181818183	98070870.0
79M_1	15.654771695061314	17.0	151.0	18.181818181818183	89087341.0
79M_2	7.133966047893011	20.0	151.0	18.181818181818183	89087341.0
80M_1	17.04193813764489	18.0	151.0	9.090909090909092	92793428.0
80M_2	7.769210506365681	20.0	151.0	18.181818181818183	92793428.0
81M_1	17.67151499962651	18.0	151.0	18.181818181818183	91400337.0
81M_2	7.8547000147583645	20.0	151.0	18.181818181818183	91400337.0
92M_1	16.486817748081222	17.0	151.0	9.090909090909092	93182201.0
92M_2	7.65811505176039	20.0	151.0	18.181818181818183	93182201.0
93M_1	17.553385724655087	18.0	151.0	18.181818181818183	92132115.0
93M_2	8.3440278588306	20.0	151.0	18.181818181818183	92132115.0
94M_1	19.350739320637672	18.0	151.0	9.090909090909092	95548745.0
94M_2	8.449832963252263	20.0	151.0	18.181818181818183	95548745.0
95M_1	16.24635262071797	18.0	151.0	9.090909090909092	86152958.0
95M_2	7.5960007388540305	20.0	151.0	18.181818181818183	86152958.0
T001FX_S219_L001_R1_001	25.663956637601387	36.0	101.0	18.181818181818183	2800628.0
T001FX_S219_L002_R1_001	25.10306880508098	36.0	101.0	18.181818181818183	2802403.0
T001F_S100_L001_R1_001	28.57156231230678	35.0	101.0	18.181818181818183	3236647.0
T001F_S100_L002_R1_001	27.972447286942497	35.0	101.0	18.181818181818183	3245158.0
T001G_S112_L001_R1_001	18.496992873173085	34.0	101.0	18.181818181818183	3034050.0
T001G_S112_L002_R1_001	18.33530292736735	34.0	101.0	18.181818181818183	3045919.0
T002FX_S220_L001_R1_001	22.03791978816298	35.0	101.0	18.181818181818183	2578173.0
T002FX_S220_L002_R1_001	21.558145822755122	35.0	101.0	18.181818181818183	2594132.0
T002F_S101_L001_R1_001	25.6430984390922	33.0	101.0	18.181818181818183	3379964.0
T002F_S101_L002_R1_001	25.24820736241695	33.0	101.0	18.181818181818183	3395792.0
T002G_S113_L001_R1_001	16.617787644675047	34.0	101.0	18.181818181818183	2314910.0
T002G_S113_L002_R1_001	16.331351708597282	34.0	101.0	18.181818181818183	2319878.0
T003FX_S221_L001_R1_001	22.199296139844975	34.0	101.0	18.181818181818183	3094711.0
