CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	69785	549765	11.26	619550
2	68820	546414	11.19	615234
3	70161	545826	11.39	615987
4	71598	549581	11.53	621179
5	70983	546069	11.50	617052
6	69748	546878	11.31	616626
7	70054	546570	11.36	616624
8	70099	544931	11.40	615030
9	70559	551754	11.34	622313
10	71753	556706	11.42	628459
11	71628	552741	11.47	624369
12	71359	551027	11.47	622386
13	71699	556023	11.42	627722
14	71681	552312	11.49	623993
15	72044	552379	11.54	624423
16	72288	551727	11.58	624015
17	71303	551247	11.45	622550
18	71494	554038	11.43	625532
19	72070	551722	11.55	623792
20	71726	552526	11.49	624252
21	72004	551942	11.54	623946
22	72500	559590	11.47	632090
23	71112	548667	11.47	619779
24	72216	553509	11.54	625725
25	72120	550127	11.59	622247
26	71690	550227	11.53	621917
27	72195	548514	11.63	620709
28	72534	549344	11.66	621878
29	71311	547306	11.53	618617
30	71938	544508	11.67	616446
31	72332	552333	11.58	624665
32	72201	552535	11.56	624736
33	73084	552655	11.68	625739
34	72622	551324	11.64	623946
35	71939	548009	11.60	619948
36	73118	551095	11.71	624213
37	73098	552651	11.68	625749
38	72819	553323	11.63	626142
39	71881	550826	11.54	622707
40	72007	551473	11.55	623480
41	72353	551018	11.61	623371
42	73158	551966	11.70	625124
43	72553	551509	11.63	624062
44	73433	553834	11.71	627267
45	72139	550844	11.58	622983
46	72897	551424	11.68	624321
47	73135	552944	11.68	626079
48	73557	551882	11.76	625439
49	72942	551828	11.68	624770
50	73005	550038	11.72	623043
51	72695	549758	11.68	622453
52	72109	549545	11.60	621654
53	72428	550882	11.62	623310
54	72225	548505	11.64	620730
55	72998	552673	11.67	625671
56	73213	550954	11.73	624167
57	73559	549646	11.80	623205
58	73446	550232	11.78	623678
59	73310	547569	11.81	620879
60	72894	547705	11.75	620599
61	73249	549928	11.75	623177
62	72907	548244	11.74	621151
63	73595	548214	11.84	621809
64	73245	549880	11.75	623125
65	72933	550761	11.69	623694
66	72871	550248	11.69	623119
67	73202	550521	11.74	623723
68	73426	547887	11.82	621313
69	73509	547259	11.84	620768
70	72685	547077	11.73	619762
71	72548	547424	11.70	619972
72	72784	547644	11.73	620428
73	73033	549087	11.74	622120
74	73516	548339	11.82	621855
75	72622	545262	11.75	617884
76	72868	545266	11.79	618134
77	73893	544658	11.95	618551
78	73351	544406	11.87	617757
79	73782	545174	11.92	618956
80	73304	546331	11.83	619635
81	72924	544382	11.81	617306
82	73399	546488	11.84	619887
83	73364	543999	11.88	617363
84	73709	545641	11.90	619350
85	73011	544405	11.83	617416
86	73534	542911	11.93	616445
87	73584	546535	11.87	620119
88	73761	544557	11.93	618318
89	73909	544865	11.94	618774
90	73800	542610	11.97	616410
91	73577	542542	11.94	616119
92	74089	538828	12.09	612917
93	74091	538951	12.09	613042
94	74329	540000	12.10	614329
95	74154	538379	12.11	612533
96	73899	537293	12.09	611192
97	73478	537952	12.02	611430
98	74282	538139	12.13	612421
99	74016	535107	12.15	609123
100	74435	536905	12.18	611340
101	74439	535598	12.20	610037
102	74675	533898	12.27	608573
103	74070	533057	12.20	607127
104	74382	531354	12.28	605736
105	74778	531747	12.33	606525
106	75061	531962	12.37	607023
107	75523	530038	12.47	605561
108	75013	529290	12.41	604303
109	75476	527020	12.53	602496
110	76219	524580	12.69	600799
111	81377	531826	13.27	613203

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5272	858939	0.61	864211
2	5241	855680	0.61	860921
3	5102	855390	0.59	860492
4	5633	848302	0.66	853935
5	5496	845079	0.65	850575
6	5218	848969	0.61	854187
7	5417	856475	0.63	861892
8	5337	850311	0.62	855648
9	5296	856395	0.61	861691
10	5158	857973	0.60	863131
11	5466	859841	0.63	865307
12	5284	862946	0.61	868230
13	5361	868491	0.61	873852
14	5503	861385	0.63	866888
15	5484	860487	0.63	865971
16	5815	864617	0.67	870432
17	5573	856675	0.65	862248
18	5390	859257	0.62	864647
19	5386	865703	0.62	871089
20	5310	862534	0.61	867844
21	5504	863566	0.63	869070
22	5243	864775	0.60	870018
23	5385	859364	0.62	864749
24	5314	862408	0.61	867722
25	5396	866372	0.62	871768
26	5424	860902	0.63	866326
27	5641	863273	0.65	868914
28	5459	860433	0.63	865892
29	5319	858813	0.62	864132
30	5374	857955	0.62	863329
31	5645	863541	0.65	869186
32	5417	869334	0.62	874751
33	5456	865082	0.63	870538
34	5794	864736	0.67	870530
35	5434	861894	0.63	867328
36	5366	863437	0.62	868803
37	5510	866943	0.63	872453
38	5520	867789	0.63	873309
39	5461	861868	0.63	867329
40	5472	866054	0.63	871526
41	5612	864659	0.64	870271
42	5444	865242	0.63	870686
43	5556	867169	0.64	872725
44	5350	863017	0.62	868367
45	5388	865787	0.62	871175
46	5559	868010	0.64	873569
47	5544	867893	0.63	873437
48	5533	861481	0.64	867014
49	5809	864311	0.67	870120
50	5658	862874	0.65	868532
51	5845	862611	0.67	868456
52	5763	862293	0.66	868056
53	5848	861733	0.67	867581
54	6082	863520	0.70	869602
55	5958	860414	0.69	866372
56	6092	859943	0.70	866035
57	6077	860387	0.70	866464
58	6040	862084	0.70	868124
59	6070	858897	0.70	864967
60	6178	861594	0.71	867772
61	6173	861261	0.71	867434
62	6218	857424	0.72	863642
63	6323	859246	0.73	865569
64	6285	859837	0.73	866122
65	6360	858706	0.74	865066
66	6434	858263	0.74	864697
67	6512	857711	0.75	864223
68	6434	858257	0.74	864691
69	6514	859252	0.75	865766
70	6723	860004	0.78	866727
71	6774	853189	0.79	859963
72	6576	856100	0.76	862676
73	6899	858699	0.80	865598
74	6734	854710	0.78	861444
75	7110	857211	0.82	864321
76	7146	856620	0.83	863766
77	7236	857160	0.84	864396
78	7239	856391	0.84	863630
79	7426	857957	0.86	865383
80	7536	854894	0.87	862430
81	7621	853826	0.88	861447
82	7700	855410	0.89	863110
83	7906	849968	0.92	857874
84	8106	853181	0.94	861287
85	8178	853759	0.95	861937
86	8526	851891	0.99	860417
87	8728	850801	1.02	859529
88	8922	853065	1.04	861987
89	9029	850392	1.05	859421
90	9173	844081	1.08	853254
91	9437	846333	1.10	855770
92	9693	848223	1.13	857916
93	9922	844214	1.16	854136
94	10260	847080	1.20	857340
95	10272	843791	1.20	854063
96	11058	842784	1.30	853842
97	10865	839643	1.28	850508
98	11425	837773	1.35	849198
99	11823	836795	1.39	848618
100	12226	837940	1.44	850166
101	12153	832781	1.44	844934
102	12924	830544	1.53	843468
103	13049	827956	1.55	841005
104	13815	826054	1.64	839869
105	14577	822820	1.74	837397
106	14646	825385	1.74	840031
107	15406	823344	1.84	838750
108	16037	824768	1.91	840805
109	16497	824829	1.96	841326
110	24921	827164	2.92	852085
111	24629	822838	2.91	847467

