CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	71689	564980	11.26	636669
2	70777	561066	11.20	631843
3	72106	560514	11.40	632620
4	72533	563309	11.41	635842
5	73309	560136	11.57	633445
6	72385	561002	11.43	633387
7	71751	561183	11.34	632934
8	72181	557952	11.45	630133
9	72424	565673	11.35	638097
10	73736	573134	11.40	646870
11	73644	568465	11.47	642109
12	73368	564988	11.49	638356
13	73603	569139	11.45	642742
14	73733	565559	11.53	639292
15	73646	564373	11.54	638019
16	74351	565022	11.63	639373
17	73507	564505	11.52	638012
18	73591	569271	11.45	642862
19	73739	567473	11.50	641212
20	73416	567445	11.46	640861
21	73925	564297	11.58	638222
22	74988	574115	11.55	649103
23	73649	561987	11.59	635636
24	74838	566226	11.67	641064
25	74363	561837	11.69	636200
26	73952	563007	11.61	636959
27	74490	563367	11.68	637857
28	74413	563416	11.67	637829
29	73545	561336	11.58	634881
30	74093	559278	11.70	633371
31	74479	564453	11.66	638932
32	73746	566516	11.52	640262
33	74488	566270	11.62	640758
34	74825	565597	11.68	640422
35	74717	563210	11.71	637927
36	74363	563686	11.65	638049
37	75080	566037	11.71	641117
38	74796	568000	11.64	642796
39	74234	565845	11.60	640079
40	74170	564858	11.61	639028
41	74234	564677	11.62	638911
42	74996	566818	11.69	641814
43	74433	566969	11.60	641402
44	75024	567958	11.67	642982
45	74718	564304	11.69	639022
46	74706	566611	11.65	641317
47	75246	569020	11.68	644266
48	76065	566742	11.83	642807
49	76068	565047	11.86	641115
50	74922	565681	11.70	640603
51	75548	564849	11.80	640397
52	74529	562787	11.69	637316
53	74867	566766	11.67	641633
54	74641	563411	11.70	638052
55	74380	566183	11.61	640563
56	75229	567022	11.71	642251
57	75099	564888	11.73	639987
58	75087	564744	11.74	639831
59	75540	561344	11.86	636884
60	74780	563747	11.71	638527
61	75615	565470	11.79	641085
62	76528	565884	11.91	642412
63	75481	564637	11.79	640118
64	75654	566529	11.78	642183
65	75076	565758	11.72	640834
66	75077	565634	11.72	640711
67	75430	564356	11.79	639786
68	75566	563772	11.82	639338
69	75731	562357	11.87	638088
70	75048	563949	11.74	638997
71	75314	564034	11.78	639348
72	75526	561913	11.85	637439
73	75605	563253	11.83	638858
74	75412	561039	11.85	636451
75	74919	560113	11.80	635032
76	75096	560035	11.82	635131
77	75901	557890	11.98	633791
78	75374	558440	11.89	633814
79	75714	561250	11.89	636964
80	75826	560988	11.91	636814
81	75217	558674	11.87	633891
82	75891	559854	11.94	635745
83	75578	557513	11.94	633091
