CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	79635	637738	11.10	717373
2	78665	630888	11.09	709553
3	80059	632071	11.24	712130
4	81426	633619	11.39	715045
5	81065	629934	11.40	710999
6	79788	630930	11.23	710718
7	79567	633474	11.16	713041
8	80510	631482	11.31	711992
9	80514	638555	11.20	719069
10	81943	647290	11.24	729233
11	81518	641789	11.27	723307
12	81575	636661	11.36	718236
13	82078	644275	11.30	726353
14	81605	636570	11.36	718175
15	82076	638497	11.39	720573
16	82365	637762	11.44	720127
17	81856	637794	11.37	719650
18	81992	643219	11.31	725211
19	82191	641143	11.36	723334
20	82291	642166	11.36	724457
21	82870	641561	11.44	724431
22	83327	650778	11.35	734105
23	82770	638771	11.47	721541
24	83406	641655	11.50	725061
25	82787	634730	11.54	717517
26	83054	638161	11.52	721215
27	82966	637936	11.51	720902
28	83681	640663	11.55	724344
29	82362	640001	11.40	722363
30	82772	637723	11.49	720495
31	83357	642965	11.48	726322
32	82836	643804	11.40	726640
33	83464	644180	11.47	727644
34	83578	642358	11.51	725936
35	83521	638002	11.58	721523
36	82666	640601	11.43	723267
37	84429	644587	11.58	729016
38	83510	642849	11.50	726359
39	83031	645008	11.40	728039
40	83475	644535	11.47	728010
41	84088	643874	11.55	727962
42	83953	645063	11.52	729016
43	83694	645149	11.48	728843
44	83730	646553	11.47	730283
45	83619	641431	11.53	725050
46	84908	646042	11.62	730950
47	85102	648563	11.60	733665
48	85465	644741	11.70	730206
49	84940	644797	11.64	729737
50	84713	645675	11.60	730388
51	85099	645574	11.65	730673
52	83598	642494	11.51	726092
53	83872	646219	11.49	730091
54	84047	642790	11.56	726837
55	84194	645755	11.53	729949
56	84290	645191	11.55	729481
57	85417	644703	11.70	730120
58	85405	646330	11.67	731735
59	84340	642981	11.60	727321
60	84503	645586	11.57	730089
61	85210	646970	11.64	732180
62	85885	647544	11.71	733429
63	85324	644155	11.70	729479
64	85163	647129	11.63	732292
65	85159	645633	11.65	730792
66	84994	645753	11.63	730747
67	85082	643098	11.68	728180
68	85323	644051	11.70	729374
69	84867	643673	11.65	728540
70	84742	643429	11.64	728171
71	85127	645500	11.65	730627
72	85046	643947	11.67	728993
73	85619	644683	11.72	730302
74	84872	642254	11.67	727126
75	84407	639334	11.66	723741
76	84925	636883	11.77	721808
77	85097	636485	11.79	721582
78	85063	640211	11.73	725274
79	85392	641207	11.75	726599
80	85578	643119	11.74	728697
81	85006	639030	11.74	724036
82	85923	640989	11.82	726912
83	85491	639377	11.79	724868
84	85149	640707	11.73	725856
85	84966	638001	11.75	722967
86	85063	636571	11.79	721634
87	85430	640444	11.77	725874
88	85710	636207	11.87	721917
89	85532	637496	11.83	723028
90	85708	636731	11.86	722439
91	85707	636422	11.87	722129
92	86605	633850	12.02	720455
93	85748	633002	11.93	718750
94	85779	632347	11.94	718126
95	86041	632227	11.98	718268
96	85209	629264	11.93	714473
97	85962	628383	12.03	714345
98	86560	627966	12.11	714526
99	86364	625921	12.12	712285
100	86844	627363	12.16	714207
101	85959	626266	12.07	712225
102	86253	626397	12.10	712650
103	86396	622281	12.19	708677
104	86283	620754	12.20	707037
105	86392	619455	12.24	705847
106	86247	618213	12.24	704460
107	87654	615685	12.46	703339
108	87664	613040	12.51	700704
109	87863	611050	12.57	698913
110	88192	607662	12.67	695854
111	95570	618847	13.38	714417

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	6049	967420	0.62	973469
2	5886	963687	0.61	969573
3	5578	962727	0.58	968305
4	6266	957523	0.65	963789
5	5997	951342	0.63	957339
6	5789	949558	0.61	955347
7	5962	961221	0.62	967183
8	6053	950692	0.63	956745
9	5991	962411	0.62	968402
10	5989	964667	0.62	970656
11	5937	965687	0.61	971624
12	5943	970654	0.61	976597
13	6182	976363	0.63	982545
14	6034	970794	0.62	976828
