CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	73791	607165	10.84	680956
2	73063	603586	10.80	676649
3	73828	600119	10.95	673947
4	75699	606494	11.10	682193
5	74851	602899	11.04	677750
6	74955	605663	11.01	680618
7	73815	603410	10.90	677225
8	74020	601258	10.96	675278
9	74915	608090	10.97	683005
10	75435	615489	10.92	690924
11	75603	610020	11.03	685623
12	75691	608348	11.07	684039
13	75557	613174	10.97	688731
14	75575	609488	11.03	685063
15	76015	610478	11.07	686493
16	76127	608753	11.12	684880
17	75358	609702	11.00	685060
18	75494	613296	10.96	688790
19	75215	610142	10.97	685357
20	75907	610395	11.06	686302
21	75539	606883	11.07	682422
22	76583	616532	11.05	693115
23	75402	604981	11.08	680383
24	76574	610230	11.15	686804
25	76180	604678	11.19	680858
26	75926	606217	11.13	682143
27	76609	605353	11.23	681962
28	76186	605422	11.18	681608
29	75361	606601	11.05	681962
30	75415	602574	11.12	677989
31	76446	610591	11.13	687037
32	76618	609518	11.17	686136
33	76416	610601	11.12	687017
34	76622	607927	11.19	684549
35	76088	607280	11.13	683368
36	76233	607647	11.15	683880
37	77170	610339	11.22	687509
38	76772	610548	11.17	687320
39	76191	609470	11.11	685661
40	76157	608695	11.12	684852
41	76367	609026	11.14	685393
42	76859	612068	11.16	688927
43	76292	609157	11.13	685449
44	77183	611170	11.21	688353
45	76356	607403	11.17	683759
46	77005	608097	11.24	685102
47	77388	611108	11.24	688496
48	77693	611489	11.27	689182
49	77333	609011	11.27	686344
50	76999	608147	11.24	685146
51	77237	608631	11.26	685868
52	76000	606957	11.13	682957
53	77262	608213	11.27	685475
54	76629	605882	11.23	682511
55	77077	612217	11.18	689294
56	76962	608788	11.22	685750
57	77299	607837	11.28	685136
58	77065	607111	11.26	684176
59	76727	603260	11.28	679987
60	76719	605689	11.24	682408
61	77360	607553	11.29	684913
62	77914	607067	11.37	684981
63	77700	605559	11.37	683259
64	77440	608843	11.28	686283
65	77522	606545	11.33	684067
66	77795	607508	11.35	685303
67	77394	607138	11.31	684532
68	77879	607110	11.37	684989
69	77366	603958	11.36	681324
70	77260	604796	11.33	682056
71	76993	607208	11.25	684201
72	77248	605824	11.31	683072
73	77680	606637	11.35	684317
74	77897	604225	11.42	682122
75	76968	602324	11.33	679292
76	77534	603177	11.39	680711
77	77695	600421	11.46	678116
78	77808	602790	11.43	680598
79	77865	603471	11.43	681336
80	78054	603355	11.45	681409
81	77830	600892	11.47	678722
82	77831	601464	11.46	679295
83	77736	599538	11.48	677274
84	77783	601333	11.45	679116
85	77687	600403	11.46	678090
86	78504	601634	11.54	680138
87	78020	603030	11.46	681050
88	78437	602021	11.53	680458
89	79027	600209	11.63	679236
90	77774	598752	11.50	676526
91	78776	597374	11.65	676150
92	78754	593494	11.72	672248
93	78183	593379	11.64	671562
94	79423	593358	11.81	672781
95	78987	592505	11.76	671492
96	78848	592176	11.75	671024
97	79519	590932	11.86	670451
98	79768	590357	11.90	670125
99	79605	588035	11.92	667640
100	79441	589859	11.87	669300
101	79165	587007	11.88	666172
102	79564	587182	11.93	666746
103	79378	583309	11.98	662687
104	80051	581274	12.10	661325
105	79468	581089	12.03	660557
106	80319	581140	12.14	661459
107	81097	579693	12.27	660790
108	81066	577450	12.31	658516
109	80553	574355	12.30	654908
110	82011	571645	12.55	653656
111	89795	580126	13.40	669921

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5583	932114	0.60	937697
2	5418	928683	0.58	934101
3	5387	926536	0.58	931923
4	5733	921666	0.62	927399
5	5672	919202	0.61	924874
6	5478	919285	0.59	924763
7	5534	926223	0.59	931757
8	5676	921421	0.61	927097
9	5552	930268	0.59	935820
10	5660	933042	0.60	938702
11	5601	932159	0.60	937760
12	5534	937592	0.59	943126
13	5556	942723	0.59	948279
14	5658	935247	0.60	940905
15	5638	934444	0.60	940082
16	5906	937939	0.63	943845
17	5553	933950	0.59	939503
18	5477	932797	0.58	938274
19	5463	938662	0.58	944125
20	5651	937029	0.60	942680
21	5680	937222	0.60	942902
22	5398	937215	0.57	942613
23	5643	932717	0.60	938360
24	5498	935279	0.58	940777
25	5613	938720	0.59	944333
26	5514	934526	0.59	940040
27	5890	937178	0.62	943068
28	5430	936613	0.58	942043
29	5613	932615	0.60	938228
30	5582	934695	0.59	940277
31	5717	940219	0.60	945936
32	5598	943190	0.59	948788
33	5730	938630	0.61	944360
34	5864	938669	0.62	944533
35	5620	934043	0.60	939663
36	5603	937794	0.59	943397
37	5702	939927	0.60	945629
38	5635	939875	0.60	945510
39	5594	936880	0.59	942474
40	5743	939461	0.61	945204
41	5834	938467	0.62	944301
42	5669	939741	0.60	945410
43	5602	942572	0.59	948174
44	5814	937429	0.62	943243
45	5875	937626	0.62	943501
46	5802	943447	0.61	949249
47	6004	943038	0.63	949042
48	5812	938014	0.62	943826
49	6031	937044	0.64	943075
50	5934	936979	0.63	942913
51	6094	936143	0.65	942237
52	6273	937290	0.66	943563
53	6152	936290	0.65	942442
54	6352	936817	0.67	943169
55	6324	935457	0.67	941781
56	6361	935040	0.68	941401
57	6404	934615	0.68	941019
58	6451	934123	0.69	940574
59	6386	933312	0.68	939698
60	6637	934791	0.70	941428
61	6652	934753	0.71	941405
62	6654	928071	0.71	934725
63	6876	933495	0.73	940371
64	6758	934367	0.72	941125
65	6740	933100	0.72	939840
66	7044	930538	0.75	937582
67	6915	931489	0.74	938404
68	6923	932592	0.74	939515
69	7159	929760	0.76	936919
70	7189	932363	0.77	939552
71	7474	929083	0.80	936557
72	7318	929459	0.78	936777
73	7649	929556	0.82	937205
74	7627	926240	0.82	933867
75	7728	927891	0.83	935619
76	7832	927983	0.84	935815
77	8122	930238	0.87	938360
78	8309	927264	0.89	935573
79	8401	930566	0.89	938967
80	8710	926744	0.93	935454
81	8676	924845	0.93	933521
82	9051	925239	0.97	934290
83	8997	922105	0.97	931102
84	9125	925868	0.98	934993
85	9549	923230	1.02	932779
86	9843	921668	1.06	931511
87	10252	924204	1.10	934456
88	10474	922280	1.12	932754
89	10578	918015	1.14	928593
90	10881	915437	1.17	926318
91	10971	916897	1.18	927868
92	11551	915257	1.25	926808
