CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	69774	638109	9.86	707883
2	70095	632524	9.98	702619
3	71331	629964	10.17	701295
4	71594	623690	10.30	695284
5	70712	618738	10.26	689450
6	70400	625552	10.12	695952
7	70584	629745	10.08	700329
8	70674	631055	10.07	701729
9	71182	638554	10.03	709736
10	72647	646294	10.10	718941
11	71789	640345	10.08	712134
12	72122	637461	10.16	709583
13	71945	639255	10.12	711200
14	72158	632459	10.24	704617
15	71818	633113	10.19	704931
16	72203	630337	10.28	702540
17	71026	634847	10.06	705873
18	71992	638748	10.13	710740
19	72807	639691	10.22	712498
20	72579	641564	10.16	714143
21	72489	638774	10.19	711263
22	72601	647790	10.08	720391
23	72652	634824	10.27	707476
24	73096	634255	10.33	707351
25	72181	625725	10.34	697906
26	71585	628171	10.23	699756
27	72292	629964	10.29	702256
28	72914	633652	10.32	706566
29	72329	636415	10.21	708744
30	72046	634172	10.20	706218
31	73417	640017	10.29	713434
32	73032	641038	10.23	714070
33	72807	639719	10.22	712526
34	73231	636879	10.31	710110
35	72530	632554	10.29	705084
36	72901	632955	10.33	705856
37	73786	636155	10.39	709941
38	72759	637393	10.25	710152
39	72848	637146	10.26	709994
40	73304	639831	10.28	713135
41	73247	640121	10.27	713368
42	73063	643288	10.20	716351
43	72996	639644	10.24	712640
44	73608	642101	10.28	715709
45	72893	635072	10.30	707965
46	73654	638557	10.34	712211
47	73615	638969	10.33	712584
48	73707	639968	10.33	713675
49	73774	641130	10.32	714904
50	73374	640965	10.27	714339
51	73989	639515	10.37	713504
52	72993	639436	10.25	712429
53	73223	643930	10.21	717153
54	72441	638080	10.20	710521
55	73374	638476	10.31	711850
56	73672	636713	10.37	710385
57	74018	637776	10.40	711794
58	73384	637957	10.32	711341
59	73247	637297	10.31	710544
60	73526	640674	10.29	714200
61	74785	641114	10.45	715899
62	74392	639676	10.42	714068
63	74344	640125	10.41	714469
64	74176	639749	10.39	713925
65	74110	638584	10.40	712694
66	73712	637386	10.37	711098
67	74177	637614	10.42	711791
68	74505	639428	10.44	713933
69	74400	640844	10.40	715244
70	73585	639785	10.32	713370
71	74312	643770	10.35	718082
72	74386	640833	10.40	715219
73	74437	640668	10.41	715105
74	74341	636088	10.46	710429
75	73805	629631	10.49	703436
76	73420	630748	10.43	704168
77	74560	631729	10.56	706289
78	73785	633738	10.43	707523
79	75320	637014	10.57	712334
80	74896	639757	10.48	714653
81	73974	637841	10.39	711815
82	74697	637302	10.49	711999
83	74895	634600	10.56	709495
84	74842	637851	10.50	712693
85	74696	635948	10.51	710644
86	74229	630222	10.54	704451
87	74062	632335	10.48	706397
88	74683	631912	10.57	706595
89	75118	633548	10.60	708666
90	75276	634731	10.60	710007
91	75622	639126	10.58	714748
92	75871	635535	10.66	711406
93	75625	633635	10.66	709260
94	74973	631703	10.61	706676
95	75884	626158	10.81	702042
96	75083	622471	10.76	697554
97	74901	623893	10.72	698794
98	75774	622105	10.86	697879
99	75408	623724	10.79	699132
100	75896	627103	10.80	702999
101	75961	627370	10.80	703331
102	76228	625642	10.86	701870
103	75321	625715	10.74	701036
104	76209	621976	10.92	698185
105	76381	619753	10.97	696134
106	76105	616428	10.99	692533
107	76836	614594	11.11	691430
108	76695	610134	11.17	686829
109	76849	609488	11.20	686337
110	77888	609130	11.34	687018
111	84631	619195	12.02	703826

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5637	945419	0.59	951056
2	5575	942982	0.59	948557
3	5471	937367	0.58	942838
4	5778	927490	0.62	933268
5	5725	924359	0.62	930084
6	5617	929748	0.60	935365
7	5614	939958	0.59	945572
8	5721	931673	0.61	937394
9	5554	944074	0.58	949628
10	5647	945115	0.59	950762
11	5589	947359	0.59	952948
12	5788	950897	0.61	956685
13	5690	955985	0.59	961675
14	5712	950182	0.60	955894
15	5722	947906	0.60	953628
16	5936	951710	0.62	957646
17	5777	944572	0.61	950349
18	5592	944338	0.59	949930
19	5735	947797	0.60	953532
20	5607	950842	0.59	956449
21	5860	950520	0.61	956380
22	5879	953656	0.61	959535
23	5778	948293	0.61	954071
24	5669	956225	0.59	961894
25	5726	957408	0.59	963134
26	5454	948484	0.57	953938
27	5875	955321	0.61	961196
28	5624	951817	0.59	957441
29	5698	948731	0.60	954429
30	5653	946496	0.59	952149
31	5866	954590	0.61	960456
32	5877	960264	0.61	966141
33	5732	955942	0.60	961674
34	6057	961053	0.63	967110
35	5747	955077	0.60	960824
36	5874	958919	0.61	964793
37	5873	957837	0.61	963710
38	5735	956116	0.60	961851
39	5827	953707	0.61	959534
40	5843	952363	0.61	958206
41	5695	956526	0.59	962221
42	5772	962168	0.60	967940
43	5774	966672	0.59	972446
44	5881	963089	0.61	968970
45	5759	964434	0.59	970193
46	5994	967529	0.62	973523
47	5814	965297	0.60	971111
48	5849	956293	0.61	962142
49	5987	957212	0.62	963199
50	5995	955247	0.62	961242
51	6150	956752	0.64	962902
52	6077	961164	0.63	967241
53	6153	959404	0.64	965557
54	6480	960697	0.67	967177
55	6396	961727	0.66	968123
56	6343	962171	0.65	968514
57	6463	960904	0.67	967367
58	6343	961333	0.66	967676
59	6405	955482	0.67	961887
60	6433	959945	0.67	966378
61	6551	956107	0.68	962658
62	6583	951973	0.69	958556
63	6576	958505	0.68	965081
64	6674	960972	0.69	967646
65	6682	961118	0.69	967800
66	6771	961584	0.70	968355
67	6923	962000	0.71	968923
68	6865	961241	0.71	968106
69	6886	958008	0.71	964894
70	7055	958652	0.73	965707
71	7007	954586	0.73	961593
72	7126	956856	0.74	963982
73	7227	957375	0.75	964602
74	7274	951843	0.76	959117
75	7425	955124	0.77	962549
76	7574	957536	0.78	965110
77	7572	956469	0.79	964041
78	7706	959344	0.80	967050
79	7851	959803	0.81	967654
80	7842	955103	0.81	962945
81	8068	953897	0.84	961965
82	8275	955377	0.86	963652
83	8339	948270	0.87	956609
84	8669	955453	0.90	964122
85	8815	952009	0.92	960824
86	8986	948925	0.94	957911
87	8948	949342	0.93	958290
88	9286	949715	0.97	959001
89	9387	946068	0.98	955455
90	9852	946753	1.03	956605
91	10052	946615	1.05	956667
92	10393	946659	1.09	957052
93	10553	945245	1.10	955798
94	10839	943737	1.14	954576
95	10932	940372	1.15	951304
96	11614	939739	1.22	951353
97	11865	935390	1.25	947255
98	12190	931857	1.29	944047
99	12436	932678	1.32	945114
100	13204	933452	1.39	946656
101	13441	927929	1.43	941370
102	13897	926167	1.48	940064
103	14390	924214	1.53	938604
104	14603	921728	1.56	936331
105	15408	917608	1.65	933016
106	15890	917138	1.70	933028
107	17075	914652	1.83	931727
108	17400	915133	1.87	932533
109	18479	914702	1.98	933181
110	27433	919201	2.90	946634
111	27160	915424	2.88	942584

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	27569	4267865	0.64	4295434
2	27231	4248497	0.64	4275728
3	27290	4220787	0.64	4248077
4	28964	4196361	0.69	4225325
5	29589	4176108	0.70	4205697
6	28241	4180036	0.67	4208277
7	27952	4202071	0.66	4230023
8	28525	4198504	0.67	4227029
9	28091	4250248	0.66	4278339
10	29013	4255291	0.68	4284304
11	29305	4279554	0.68	4308859
12	28898	4268815	0.67	4297713
13	28434	4268826	0.66	4297260
14	28436	4234671	0.67	4263107
15	28425	4234103	0.67	4262528
16	29865	4219892	0.70	4249757
17	29311	4199041	0.69	4228352
18	28813	4222308	0.68	4251121
19	28688	4256028	0.67	4284716
20	28676	4273814	0.67	4302490
21	28986	4281779	0.67	4310765
22	29142	4301792	0.67	4330934
23	29289	4258875	0.68	4288164
24	28778	4274585	0.67	4303363
25	28604	4279452	0.66	4308056
26	28026	4243715	0.66	4271741
27	29287	4235892	0.69	4265179
28	29043	4236757	0.68	4265800
29	29117	4239163	0.68	4268280
30	29278	4256770	0.68	4286048
31	29033	4288034	0.67	4317067
32	28674	4296819	0.66	4325493
33	28781	4291781	0.67	4320562
34	30165	4292979	0.70	4323144
35	29928	4275031	0.70	4304959
36	29036	4264045	0.68	4293081
37	29050	4265196	0.68	4294246
38	28588	4258312	0.67	4286900
39	29466	4261308	0.69	4290774
40	29793	4299493	0.69	4329286
41	29821	4310636	0.69	4340457
42	29700	4317256	0.68	4346956
43	29104	4305824	0.67	4334928
44	29619	4300153	0.68	4329772
45	29545	4287455	0.68	4317000
46	30247	4280706	0.70	4310953
47	30411	4267339	0.71	4297750
48	30504	4284196	0.71	4314700
49	30753	4279921	0.71	4310674
50	30590	4275870	0.71	4306460
51	31220	4288241	0.72	4319461
52	31938	4300829	0.74	4332767
