CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	73863	639326	10.36	713189
2	75002	634656	10.57	709658
3	75566	633402	10.66	708968
4	75738	624377	10.82	700115
5	75240	618050	10.85	693290
6	74793	627025	10.66	701818
7	74994	631279	10.62	706273
8	75099	632440	10.61	707539
9	75929	641065	10.59	716994
10	76796	649796	10.57	726592
11	75645	644931	10.50	720576
12	76248	638992	10.66	715240
13	76587	640615	10.68	717202
14	76259	631655	10.77	707914
15	77723	632200	10.95	709923
16	77155	634490	10.84	711645
17	75781	637040	10.63	712821
18	76712	641223	10.69	717935
19	78135	643806	10.82	721941
20	77790	646095	10.75	723885
21	77740	644869	10.76	722609
22	77827	653053	10.65	730880
23	77384	639179	10.80	716563
24	78119	639078	10.89	717197
25	77239	626417	10.98	703656
26	76270	630073	10.80	706343
27	77745	635651	10.90	713396
28	78292	642642	10.86	720934
29	76993	646504	10.64	723497
30	78316	642343	10.87	720659
31	78469	650287	10.77	728756
32	78053	648665	10.74	726718
33	79014	649355	10.85	728369
34	80032	645666	11.03	725698
35	77573	637411	10.85	714984
36	78126	638123	10.91	716249
37	79340	644162	10.97	723502
38	78894	648244	10.85	727138
39	78622	647247	10.83	725869
40	78927	649267	10.84	728194
41	79015	648795	10.86	727810
42	79216	650579	10.85	729795
43	79278	650627	10.86	729905
44	80255	650712	10.98	730967
45	78700	644853	10.88	723553
46	79996	644738	11.04	724734
47	80409	649840	11.01	730249
48	80599	650296	11.03	730895
49	80027	651669	10.94	731696
50	80023	650642	10.95	730665
51	80449	653049	10.97	733498
52	79314	652004	10.85	731318
53	79303	654360	10.81	733663
54	79149	644638	10.94	723787
55	79746	648014	10.96	727760
56	79998	645948	11.02	725946
57	80051	648773	10.98	728824
58	79854	650303	10.94	730157
59	80317	648805	11.02	729122
60	80199	655160	10.91	735359
61	81128	654891	11.02	736019
62	81418	653885	11.07	735303
63	80773	651009	11.04	731782
64	80052	651270	10.95	731322
65	80372	649420	11.01	729792
66	80216	646950	11.03	727166
67	80329	649084	11.01	729413
68	81013	652071	11.05	733084
69	80791	655901	10.97	736692
70	79856	652355	10.91	732211
71	80897	658612	10.94	739509
72	80588	656408	10.93	736996
73	81130	655138	11.02	736268
74	80780	650549	11.05	731329
75	79821	641042	11.07	720863
76	79518	641136	11.03	720654
77	80824	638776	11.23	719600
78	80774	644580	11.14	725354
79	80798	649828	11.06	730626
80	81170	653065	11.06	734235
81	81041	651508	11.06	732549
82	81503	653182	11.09	734685
83	81173	649678	11.11	730851
84	81157	649372	11.11	730529
85	80828	647530	11.10	728358
86	80589	642694	11.14	723283
87	80145	644178	11.06	724323
88	80178	640130	11.13	720308
89	80277	643445	11.09	723722
90	80454	644972	11.09	725426
91	81193	647121	11.15	728314
92	80843	645175	11.14	726018
93	81082	643271	11.19	724353
94	80764	640718	11.19	721482
95	80289	634953	11.23	715242
96	80395	631787	11.29	712182
97	80482	631165	11.31	711647
98	81149	630537	11.40	711686
99	81372	631154	11.42	712526
100	80931	636017	11.29	716948
101	80982	637880	11.27	718862
102	81165	635278	11.33	716443
103	80869	632551	11.34	713420
104	81582	630380	11.46	711962
105	81241	625839	11.49	707080
106	81012	624377	11.48	705389
107	81742	620191	11.65	701933
108	81238	617725	11.62	698963
109	81600	617858	11.67	699458
110	81490	617941	11.65	699431
111	88224	630033	12.28	718257

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5668	940205	0.60	945873
2	5492	944233	0.58	949725
3	5420	936320	0.58	941740
4	5798	929010	0.62	934808
5	5793	921370	0.62	927163
6	5471	920761	0.59	926232
7	5698	932317	0.61	938015
8	5613	924617	0.60	930230
9	5482	938457	0.58	943939
10	5733	941321	0.61	947054
11	5643	943465	0.59	949108
12	5638	947741	0.59	953379
13	5565	955778	0.58	961343
14	5693	950763	0.60	956456
15	5648	947219	0.59	952867
16	5925	949329	0.62	955254
17	5593	941487	0.59	947080
18	5607	941900	0.59	947507
19	5461	945979	0.57	951440
20	5486	946522	0.58	952008
21	5770	951264	0.60	957034
22	5742	954905	0.60	960647
23	5541	952147	0.58	957688
24	5772	961741	0.60	967513
25	5650	963735	0.58	969385
26	5750	951005	0.60	956755
27	5871	958069	0.61	963940
28	5533	954755	0.58	960288
29	5840	947596	0.61	953436
30	5749	948259	0.60	954008
31	5941	954137	0.62	960078
32	5689	965508	0.59	971197
33	5808	963185	0.60	968993
34	5932	969371	0.61	975303
35	5793	961503	0.60	967296
36	5853	965746	0.60	971599
37	5831	963015	0.60	968846
38	5765	963093	0.60	968858
39	5811	956716	0.60	962527
40	5761	957057	0.60	962818
41	5826	962107	0.60	967933
42	5861	967818	0.60	973679
43	5963	976679	0.61	982642
44	5833	971396	0.60	977229
45	5866	976465	0.60	982331
46	6080	980684	0.62	986764
47	5944	975293	0.61	981237
48	5835	966343	0.60	972178
49	5946	964074	0.61	970020
50	5987	959692	0.62	965679
51	6110	965700	0.63	971810
52	6263	972019	0.64	978282
53	6202	967006	0.64	973208
54	6313	968492	0.65	974805
55	6427	972573	0.66	979000
56	6452	970597	0.66	977049
57	6426	973928	0.66	980354
58	6318	972547	0.65	978865
59	6357	966741	0.65	973098
60	6565	968218	0.67	974783
61	6431	966562	0.66	972993
62	6596	963286	0.68	969882
63	6627	965335	0.68	971962
64	6552	970375	0.67	976927
65	6788	971803	0.69	978591
66	6623	971609	0.68	978232
67	6841	972452	0.70	979293
68	6770	972652	0.69	979422
69	6970	968227	0.71	975197
70	7038	968542	0.72	975580
71	7216	966036	0.74	973252
72	7004	968382	0.72	975386
73	7280	969991	0.74	977271
74	7204	964539	0.74	971743
75	7361	967547	0.76	974908
76	7528	971830	0.77	979358
77	7794	967705	0.80	975499
78	7783	971057	0.80	978840
79	7803	970310	0.80	978113
80	7821	965971	0.80	973792
81	8049	963439	0.83	971488
82	8298	965424	0.85	973722
