CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	73073	634360	10.33	707433
2	73102	630370	10.39	703472
3	73606	627273	10.50	700879
4	73282	614471	10.66	687753
5	73137	606042	10.77	679179
6	73086	616122	10.60	689208
7	73174	620543	10.55	693717
8	73592	628131	10.49	701723
9	74679	637645	10.48	712324
10	74957	649073	10.35	724030
11	74497	640267	10.42	714764
12	75140	637426	10.54	712566
13	74952	635298	10.55	710250
14	74958	625979	10.69	700937
15	75550	626801	10.76	702351
16	75231	624628	10.75	699859
17	74775	628823	10.63	703598
18	74886	635291	10.54	710177
19	76475	639606	10.68	716081
20	76028	644660	10.55	720688
21	75919	643836	10.55	719755
22	76319	650301	10.50	726620
23	75826	635803	10.66	711629
24	75825	632865	10.70	708690
25	75058	621430	10.78	696488
26	75212	620226	10.82	695438
27	75702	629378	10.74	705080
28	75436	637994	10.57	713430
29	76090	641201	10.61	717291
30	76889	642461	10.69	719350
31	76679	650104	10.55	726783
32	76482	643915	10.62	720397
33	77119	647347	10.64	724466
34	77889	643430	10.80	721319
35	77006	634287	10.83	711293
36	76022	633801	10.71	709823
37	76965	637235	10.78	714200
38	76352	639440	10.67	715792
39	76420	642608	10.63	719028
40	76731	646593	10.61	723324
41	77265	647617	10.66	724882
42	77681	650380	10.67	728061
43	77618	648743	10.69	726361
44	77800	649721	10.69	727521
45	76542	638395	10.71	714937
46	78084	642989	10.83	721073
47	78684	644855	10.87	723539
48	78132	645829	10.79	723961
49	77905	647954	10.73	725859
50	77752	648536	10.71	726288
51	78670	650441	10.79	729111
52	77893	652840	10.66	730733
53	77586	653988	10.61	731574
54	77491	643666	10.75	721157
55	77346	643612	10.73	720958
56	77965	641744	10.83	719709
57	78332	643824	10.85	722156
58	78261	646268	10.80	724529
59	78851	649982	10.82	728833
60	78175	653884	10.68	732059
61	79555	656187	10.81	735742
62	79353	652849	10.84	732202
63	79149	652028	10.82	731177
64	77944	652462	10.67	730406
65	78413	648094	10.79	726507
66	77877	643683	10.79	721560
67	78934	646909	10.87	725843
68	79250	649897	10.87	729147
69	79533	653831	10.84	733364
70	78369	652628	10.72	730997
71	78678	656408	10.70	735086
72	79118	655167	10.77	734285
73	79737	653680	10.87	733417
74	78433	647887	10.80	726320
75	78452	638214	10.95	716666
76	77944	634982	10.93	712926
77	78755	633335	11.06	712090
78	78680	640694	10.94	719374
79	78961	648344	10.86	727305
80	79163	649865	10.86	729028
81	78826	648911	10.83	727737
82	79963	650132	10.95	730095
83	79986	646350	11.01	726336
84	79131	646157	10.91	725288
85	79459	642252	11.01	721711
86	78727	633928	11.05	712655
87	78268	633954	10.99	712222
88	78682	631472	11.08	710154
89	78423	635241	10.99	713664
90	79035	640711	10.98	719746
91	79880	647032	10.99	726912
92	80443	639932	11.17	720375
93	80093	639284	11.13	719377
94	79157	634885	11.09	714042
95	79260	628980	11.19	708240
96	78685	622009	11.23	700694
97	79182	620230	11.32	699412
98	79237	618737	11.35	697974
99	79070	621787	11.28	700857
