CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	76770	688295	10.03	765065
2	75966	684619	9.99	760585
3	77148	683089	10.15	760237
4	77878	681236	10.26	759114
5	77484	680894	10.22	758378
6	77074	681981	10.15	759055
7	76974	682455	10.14	759429
8	77377	681214	10.20	758591
9	77859	687339	10.18	765198
10	79353	696953	10.22	776306
11	78421	692328	10.17	770749
12	78394	690117	10.20	768511
13	78564	691783	10.20	770347
14	78785	688898	10.26	767683
15	79378	689267	10.33	768645
16	79173	686700	10.34	765873
17	78173	687076	10.22	765249
18	78788	691467	10.23	770255
19	79066	691193	10.26	770259
20	78804	691760	10.23	770564
21	79188	687861	10.32	767049
22	79940	698020	10.28	777960
23	79277	685376	10.37	764653
24	80157	687531	10.44	767688
25	78816	679734	10.39	758550
26	78737	681845	10.35	760582
27	79458	682482	10.43	761940
28	79177	685343	10.36	764520
29	78289	686610	10.24	764899
30	79068	686392	10.33	765460
31	79908	692190	10.35	772098
32	79209	691302	10.28	770511
33	80397	693242	10.39	773639
34	80111	688936	10.42	769047
35	79245	684540	10.38	763785
36	78801	686751	10.29	765552
37	79856	690295	10.37	770151
38	79970	688576	10.41	768546
39	79501	689419	10.34	768920
40	79497	688592	10.35	768089
41	80289	688090	10.45	768379
42	80641	693413	10.42	774054
43	80494	693134	10.40	773628
44	79715	692990	10.32	772705
45	79982	689501	10.39	769483
46	80204	690806	10.40	771010
47	80382	692213	10.40	772595
48	80883	692113	10.46	772996
49	80514	691336	10.43	771850
50	80437	690347	10.44	770784
51	80676	690061	10.47	770737
52	79283	689385	10.31	768668
53	80400	692668	10.40	773068
54	79878	686440	10.42	766318
55	80307	692050	10.40	772357
56	80924	688766	10.51	769690
57	81354	689132	10.56	770486
58	80801	688171	10.51	768972
59	80700	687838	10.50	768538
60	80316	686355	10.48	766671
61	81057	687844	10.54	768901
62	81289	688491	10.56	769780
63	81090	688188	10.54	769278
64	80920	689962	10.50	770882
65	81386	687895	10.58	769281
66	81259	687485	10.57	768744
67	80992	687690	10.54	768682
68	82042	689311	10.64	771353
69	81691	688797	10.60	770488
70	80850	689284	10.50	770134
71	81722	690816	10.58	772538
72	80589	689309	10.47	769898
73	81584	690861	10.56	772445
74	81645	685747	10.64	767392
75	80726	682831	10.57	763557
76	80730	679262	10.62	759992
77	81416	677906	10.72	759322
78	81456	681887	10.67	763343
79	81449	685662	10.62	767111
80	81423	686089	10.61	767512
81	81429	684689	10.63	766118
82	82012	681596	10.74	763608
83	81658	682375	10.69	764033
84	81892	682884	10.71	764776
85	82224	682772	10.75	764996
86	81596	679999	10.71	761595
87	81780	685418	10.66	767198
88	82447	684245	10.75	766692
89	82706	680294	10.84	763000
90	82416	680294	10.81	762710
91	82624	679739	10.84	762363
92	83506	674532	11.02	758038
93	82513	673305	10.92	755818
