CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	87413	690289	11.24	777702
2	86951	684218	11.28	771169
3	90248	683627	11.66	773875
4	88808	672194	11.67	761002
5	88164	666251	11.69	754415
6	88696	676662	11.59	765358
7	89362	686191	11.52	775553
8	89027	686339	11.48	775366
9	90134	694609	11.49	784743
10	92011	703538	11.57	795549
11	89377	697968	11.35	787345
12	89942	689542	11.54	779484
13	90491	693334	11.54	783825
14	91297	681068	11.82	772365
15	92103	684215	11.86	776318
16	93069	684752	11.97	777821
17	90632	690345	11.60	780977
18	90859	696702	11.54	787561
19	92388	698928	11.68	791316
20	92947	703866	11.66	796813
21	91716	699756	11.59	791472
22	92970	712686	11.54	805656
23	92074	693920	11.71	785994
24	92920	693898	11.81	786818
25	91650	676936	11.92	768586
26	92326	684147	11.89	776473
27	92928	690591	11.86	783519
28	92766	695126	11.77	787892
29	92370	699226	11.67	791596
30	92855	695920	11.77	788775
31	94329	704456	11.81	798785
32	93126	702475	11.71	795601
33	93724	704522	11.74	798246
34	94872	701244	11.92	796116
35	93061	689043	11.90	782104
36	93678	690008	11.95	783686
37	94903	697905	11.97	792808
38	93885	700700	11.82	794585
39	93229	699606	11.76	792835
40	93112	702183	11.71	795295
41	94102	702424	11.81	796526
42	94456	706613	11.79	801069
43	94712	706417	11.82	801129
44	95187	706977	11.87	802164
45	92706	695502	11.76	788208
46	95785	700689	12.03	796474
47	96297	709814	11.95	806111
48	96121	707337	11.96	803458
49	94940	708399	11.82	803339
50	94992	707336	11.84	802328
51	97023	705954	12.08	802977
52	94547	706482	11.80	801029
53	94675	707318	11.80	801993
54	93914	695221	11.90	789135
55	94108	699216	11.86	793324
56	94488	697372	11.93	791860
57	95523	700686	12.00	796209
58	95516	706049	11.92	801565
59	95004	704481	11.88	799485
60	95929	709014	11.92	804943
61	96875	708374	12.03	805249
62	96633	706202	12.04	802835
63	95371	702038	11.96	797409
64	95184	704112	11.91	799296
65	94473	700952	11.88	795425
66	94936	695814	12.01	790750
67	94783	697299	11.97	792082
