CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	91131	735583	11.02	826714
2	90675	732509	11.02	823184
3	94083	727330	11.45	821413
4	92155	691573	11.76	783728
5	92499	680561	11.97	773060
6	93955	707222	11.73	801177
7	93758	729365	11.39	823123
8	95631	737447	11.48	833078
9	97186	751225	11.46	848411
10	97991	765492	11.35	863483
11	94721	755211	11.14	849932
12	96397	740326	11.52	836723
13	95787	734974	11.53	830761
14	97410	722781	11.88	820191
15	97864	721981	11.94	819845
16	98080	724854	11.92	822934
17	96638	735038	11.62	831676
18	96882	744838	11.51	841720
19	100568	761878	11.66	862446
20	102080	774028	11.65	876108
21	99139	762944	11.50	862083
22	99982	778857	11.38	878839
23	99563	754424	11.66	853987
24	99611	739308	11.87	838919
25	97511	713229	12.03	810740
26	98169	718343	12.02	816512
27	100026	738628	11.93	838654
28	99663	757659	11.62	857322
29	100805	771812	11.55	872617
30	103262	768361	11.85	871623
31	102446	771991	11.72	874437
32	102061	768098	11.73	870159
33	102850	767442	11.82	870292
34	105207	766645	12.07	871852
35	102049	745753	12.04	847802
36	101304	743479	11.99	844783
37	103401	757280	12.01	860681
38	102109	763008	11.80	865117
39	102706	765694	11.83	868400
40	103029	767825	11.83	870854
41	104751	774199	11.92	878950
42	104690	777253	11.87	881943
43	104697	777028	11.87	881725
44	104947	771357	11.98	876304
45	102252	754739	11.93	856991
46	105816	761789	12.20	867605
47	107115	774689	12.15	881804
48	106403	778053	12.03	884456
49	103879	782902	11.71	886781
50	104615	774389	11.90	879004
51	107808	777879	12.17	885687
52	105269	783699	11.84	888968
53	104609	785105	11.76	889714
54	103183	759006	11.97	862189
55	103804	755132	12.09	858936
56	103928	755027	12.10	858955
57	105521	763315	12.15	868836
58	104876	771186	11.97	876062
59	105516	777932	11.94	883448
60	105291	787214	11.80	892505
61	106095	779304	11.98	885399
62	106874	776561	12.10	883435
63	105617	768914	12.08	874531
64	104682	769398	11.98	874080
65	103205	758731	11.97	861936
66	103437	745113	12.19	848550
67	103593	751609	12.11	855202
68	106082	768660	12.13	874742
69	104354	772064	11.91	876418
70	104295	770862	11.92	875157
71	105975	784073	11.91	890048
72	104470	778359	11.83	882829
73	104973	771318	11.98	876291
74	103924	755863	12.09	859787
75	101800	731636	12.21	833436
76	100806	728457	12.16	829263
77	102393	729518	12.31	831911
78	103265	744124	12.19	847389
79	104439	762512	12.05	866951
80	103987	771349	11.88	875336
81	104169	765892	11.97	870061
82	104067	766719	11.95	870786
83	103772	752206	12.12	855978
84	102639	750632	12.03	853271
85	103411	744093	12.20	847504
86	102314	728975	12.31	831289
87	100356	721404	12.21	821760
88	99856	720441	12.17	820297
89	100810	730996	12.12	831806
90	101379	742668	12.01	844047
91	102575	750686	12.02	853261
92	103675	746471	12.19	850146
93	103842	738141	12.33	841983
94	100147	724439	12.15	824586
95	99944	708763	12.36	808707
96	98748	698643	12.38	797391
97	100857	699847	12.60	800704
98	99995	699325	12.51	799320
99	100331	706192	12.44	806523
100	100790	712152	12.40	812942
101	100502	717580	12.29	818082
102	100995	717473	12.34	818468
103	99723	709852	12.32	809575
104	100056	696719	12.56	796775
105	100057	683438	12.77	783495
106	99706	677486	12.83	777192
107	100419	668381	13.06	768800
108	100683	665234	13.15	765917
109	99774	666504	13.02	766278
110	103055	675928	13.23	778983
111	116880	693223	14.43	810103

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	6198	1003537	0.61	1009735
2	6259	1020172	0.61	1026431
3	6088	1009289	0.60	1015377
4	6334	1008718	0.62	1015052
5	6324	997477	0.63	1003801
6	6283	989690	0.63	995973
7	6257	1012741	0.61	1018998
8	6403	994140	0.64	1000543
9	6167	1002024	0.61	1008191
10	6011	1009416	0.59	1015427
11	6214	1012393	0.61	1018607
12	6253	1035155	0.60	1041408
13	6230	1053441	0.59	1059671
14	6430	1061428	0.60	1067858
15	6410	1046944	0.61	1053354
16	6548	1048761	0.62	1055309
17	6332	1026320	0.61	1032652
18	6230	1023055	0.61	1029285
19	6617	1030725	0.64	1037342
20	6294	1029676	0.61	1035970
21	6358	1036060	0.61	1042418
22	6413	1052694	0.61	1059107
23	6589	1063963	0.62	1070552
24	6493	1090380	0.59	1096873
25	6623	1077852	0.61	1084475
26	6479	1053772	0.61	1060251
27	6690	1062075	0.63	1068765
28	6504	1052682	0.61	1059186
29	6414	1038771	0.61	1045185
30	6319	1028069	0.61	1034388
31	6697	1039111	0.64	1045808
32	6519	1070248	0.61	1076767
33	6581	1080706	0.61	1087287
34	6957	1103520	0.63	1110477
35	6729	1096008	0.61	1102737
36	6736	1097524	0.61	1104260
37	6655	1081952	0.61	1088607
38	6541	1071211	0.61	1077752
39	6723	1052251	0.63	1058974
40	6564	1049481	0.62	1056045
41	6603	1056931	0.62	1063534
42	6738	1082850	0.62	1089588
43	6754	1107356	0.61	1114110
44	7015	1110041	0.63	1117056
45	6861	1110744	0.61	1117605
46	7097	1121397	0.63	1128494
47	6983	1108333	0.63	1115316
48	6827	1085621	0.62	1092448
49	6666	1066102	0.62	1072768
50	6714	1054586	0.63	1061300
51	6930	1068290	0.64	1075220
52	7082	1087704	0.65	1094786
