CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	76937	663938	10.38	740875
2	76633	654552	10.48	731185
3	78904	656498	10.73	735402
4	78219	644431	10.82	722650
5	77720	641723	10.80	719443
6	77782	650245	10.68	728027
7	77519	655530	10.57	733049
8	77484	654456	10.59	731940
9	79138	661981	10.68	741119
10	80708	671761	10.73	752469
11	78977	667025	10.59	746002
12	78651	659490	10.66	738141
13	79711	662880	10.73	742591
14	80013	654861	10.89	734874
15	80137	654455	10.91	734592
16	80224	658026	10.87	738250
17	79455	660829	10.73	740284
18	80104	667961	10.71	748065
19	80661	665682	10.81	746343
20	81294	671397	10.80	752691
21	81264	665426	10.88	746690
22	81404	679869	10.69	761273
23	80675	661708	10.87	742383
24	81992	661670	11.03	743662
25	80341	649693	11.01	730034
26	80889	654821	10.99	735710
27	81272	658236	10.99	739508
28	81330	664632	10.90	745962
29	80886	670493	10.77	751379
30	82053	665017	10.98	747070
31	82070	673998	10.85	756068
32	82045	671749	10.88	753794
33	82859	674150	10.95	757009
34	83903	668805	11.15	752708
35	81684	657592	11.05	739276
36	81492	662169	10.96	743661
37	83528	669048	11.10	752576
38	82305	669842	10.94	752147
39	81677	671215	10.85	752892
40	82553	672723	10.93	755276
41	83207	671245	11.03	754452
42	83287	675553	10.98	758840
43	83754	674016	11.05	757770
44	83392	673499	11.02	756891
45	81882	666413	10.94	748295
46	83687	668411	11.13	752098
47	84619	677699	11.10	762318
48	84615	674932	11.14	759547
49	83230	676145	10.96	759375
50	83828	674954	11.05	758782
51	84285	676307	11.08	760592
52	83396	676201	10.98	759597
53	83139	678335	10.92	761474
54	82228	667894	10.96	750122
55	82610	672439	10.94	755049
56	83121	668687	11.06	751808
57	83893	672134	11.10	756027
58	84144	675202	11.08	759346
59	83103	672782	10.99	755885
60	84422	676456	11.10	760878
61	85543	680090	11.17	765633
62	85630	677785	11.22	763415
63	84652	671132	11.20	755784
64	84273	677464	11.06	761737
65	84355	671774	11.16	756129
66	84351	668587	11.20	752938
67	83612	669124	11.11	752736
68	85018	675161	11.18	760179
69	84307	676238	11.09	760545
70	83905	676220	11.04	760125
71	84156	684688	10.95	768844
72	83858	677761	11.01	761619
73	84692	677693	11.11	762385
74	84559	672213	11.17	756772
75	83343	666048	11.12	749391
76	83287	662133	11.17	745420
77	84874	661700	11.37	746574
78	84324	668207	11.21	752531
79	84689	673494	11.17	758183
80	84633	676954	11.11	761587
81	84830	670970	11.22	755800
82	85140	673936	11.22	759076
83	84652	669792	11.22	754444
84	84734	672281	11.19	757015
85	84559	667033	11.25	751592
86	84174	663220	11.26	747394
87	84547	671855	11.18	756402
88	84271	660590	11.31	744861
89	84403	669953	11.19	754356
90	84554	668768	11.22	753322
91	85199	671789	11.26	756988
92	85613	664688	11.41	750301
93	84945	663562	11.35	748507
94	85017	659009	11.43	744026
95	84177	657855	11.34	742032
96	84321	654362	11.42	738683
97	84409	651191	11.47	735600
98	84922	651993	11.52	736915
99	84744	651826	11.51	736570
100	85045	658759	11.43	743804
101	84516	657207	11.39	741723
102	84832	658422	11.41	743254
103	84771	656272	11.44	741043
104	85075	648881	11.59	733956
105	84791	647316	11.58	732107
106	85163	642667	11.70	727830
107	85349	640824	11.75	726173
108	85377	636335	11.83	721712
109	85240	637090	11.80	722330
110	85963	637195	11.89	723158
111	91872	646646	12.44	738518

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5879	954759	0.61	960638
2	5818	959353	0.60	965171
3	5707	949349	0.60	955056
4	5932	944639	0.62	950571
5	5802	938080	0.61	943882
6	5683	936753	0.60	942436
7	5716	944955	0.60	950671
8	5767	934716	0.61	940483
9	5584	944488	0.59	950072
10	5675	951199	0.59	956874
11	5780	953984	0.60	959764
12	5835	962999	0.60	968834
13	5686	968595	0.58	974281
14	5773	968009	0.59	973782
15	5997	965961	0.62	971958
16	5990	962343	0.62	968333
17	5791	956496	0.60	962287
18	5817	956079	0.60	961896
19	5799	960529	0.60	966328
20	5735	960079	0.59	965814
21	5826	964568	0.60	970394
22	5740	968667	0.59	974407
23	5753	967088	0.59	972841
24	5799	975282	0.59	981081
25	5955	977961	0.61	983916
26	5736	964424	0.59	970160
27	6033	974378	0.62	980411
28	5768	966858	0.59	972626
29	5822	961434	0.60	967256
30	5911	958483	0.61	964394
31	6050	969552	0.62	975602
32	5765	978907	0.59	984672
33	6051	979794	0.61	985845
34	6211	986975	0.63	993186
35	5996	977213	0.61	983209
36	5905	982223	0.60	988128
37	5949	979654	0.60	985603
38	6042	975061	0.62	981103
39	5971	969027	0.61	974998
40	5977	968367	0.61	974344
41	6074	973899	0.62	979973
42	5923	983317	0.60	989240
43	5994	989239	0.60	995233
44	6104	984101	0.62	990205
45	5957	991995	0.60	997952
46	6083	997623	0.61	1003706
47	6032	992624	0.60	998656
48	6132	979071	0.62	985203
49	6100	977844	0.62	983944
50	6146	973195	0.63	979341
51	6317	980461	0.64	986778
52	6250	984692	0.63	990942
53	6276	979085	0.64	985361
54	6510	981049	0.66	987559
55	6563	985520	0.66	992083
56	6624	981630	0.67	988254
57	6600	984285	0.67	990885
58	6548	983539	0.66	990087
59	6527	982358	0.66	988885
60	6682	982559	0.68	989241
61	6848	983209	0.69	990057
62	6681	973598	0.68	980279
63	6822	978782	0.69	985604
64	6866	982662	0.69	989528
65	6906	981579	0.70	988485
66	6932	981853	0.70	988785
67	7135	984110	0.72	991245
68	7135	982010	0.72	989145
69	7041	978297	0.71	985338
70	7202	982296	0.73	989498
71	7184	979403	0.73	986587
72	7213	983261	0.73	990474
73	7393	979989	0.75	987382
74	7387	974529	0.75	981916
75	7683	978212	0.78	985895
76	7492	981691	0.76	989183
77	7873	979396	0.80	987269
78	7898	981801	0.80	989699
79	8032	982311	0.81	990343
80	7946	976634	0.81	984580
81	8357	978351	0.85	986708
82	8278	975279	0.84	983557
83	8442	972108	0.86	980550
84	8541	974749	0.87	983290
85	9043	969945	0.92	978988
86	9152	972023	0.93	981175
87	9165	968476	0.94	977641
88	9495	971871	0.97	981366
89	9538	965954	0.98	975492
90	9776	964431	1.00	974207
91	10246	964879	1.05	975125
92	10595	964059	1.09	974654
93	10419	959760	1.07	970179
94	11018	961464	1.13	972482
95	11259	958076	1.16	969335
96	11648	958028	1.20	969676
97	12089	951933	1.25	964022
98	12540	948560	1.30	961100
99	12751	948717	1.33	961468
100	13256	950087	1.38	963343
101	13252	945186	1.38	958438
102	13866	943190	1.45	957056
103	14361	936843	1.51	951204
104	14777	934346	1.56	949123
105	15550	931763	1.64	947313
106	16097	929333	1.70	945430
107	17034	929167	1.80	946201
108	17604	930254	1.86	947858
109	18349	927330	1.94	945679
110	27261	933187	2.84	960448
111	26579	928988	2.78	955567

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	31452	4233272	0.74	4264724
2	30394	4209080	0.72	4239474
3	31355	4186673	0.74	4218028
4	31825	4144906	0.76	4176731
5	33371	4112211	0.80	4145582
6	32121	4113874	0.77	4145995
7	31588	4154871	0.75	4186459
8	31720	4144222	0.76	4175942
9	31378	4215641	0.74	4247019
10	32873	4246388	0.77	4279261
11	33195	4261915	0.77	4295110
12	32852	4240197	0.77	4273049
13	31966	4224859	0.75	4256825
14	31765	4187848	0.75	4219613
15	31631	4180396	0.75	4212027
16	33372	4163740	0.80	4197112
17	33408	4150257	0.80	4183665
18	32142	4184934	0.76	4217076
19	32157	4227864	0.75	4260021
20	32453	4256663	0.76	4289116
21	32700	4271350	0.76	4304050
22	32603	4275482	0.76	4308085
23	33573	4235028	0.79	4268601
24	32931	4252140	0.77	4285071
25	32902	4245536	0.77	4278438
26	31589	4196055	0.75	4227644
27	32742	4200466	0.77	4233208
28	32933	4198142	0.78	4231075
29	33194	4203258	0.78	4236452
30	33046	4226104	0.78	4259150
31	33303	4266879	0.77	4300182
32	32584	4265369	0.76	4297953
33	32546	4262625	0.76	4295171
34	33413	4275448	0.78	4308861
35	33949	4242533	0.79	4276482
36	32926	4224928	0.77	4257854
37	33081	4225961	0.78	4259042
38	32129	4222118	0.76	4254247
39	33151	4221602	0.78	4254753
40	33796	4282618	0.78	4316414
41	33641	4303393	0.78	4337034
42	33381	4310058	0.77	4343439
43	33269	4297063	0.77	4330332
44	33158	4268335	0.77	4301493
45	32745	4244443	0.77	4277188
46	33933	4238161	0.79	4272094
47	34211	4236652	0.80	4270863
48	34143	4266297	0.79	4300440
49	34875	4261865	0.81	4296740
50	34790	4259053	0.81	4293843
51	34779	4285271	0.81	4320050
