CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
72	7360	943653	0.77	951013
73	7464	946249	0.78	953713
74	7644	941711	0.81	949355
75	7733	944657	0.81	952390
76	7751	946610	0.81	954361
77	7825	944372	0.82	952197
78	8071	944746	0.85	952817
79	8039	947017	0.84	955056
80	8102	942184	0.85	950286
81	8205	940562	0.86	948767
82	8632	942342	0.91	950974
83	8615	938820	0.91	947435
84	8733	940744	0.92	949477
85	8823	939151	0.93	947974
86	9299	937689	0.98	946988
87	9264	938603	0.98	947867
88	9473	939337	1.00	948810
89	9799	935387	1.04	945186
90	10031	934730	1.06	944761
91	10106	932417	1.07	942523
92	10402	931887	1.10	942289
93	10664	932687	1.13	943351
94	11019	931668	1.17	942687
95	11326	929635	1.20	940961
96	11721	928510	1.25	940231
97	11929	926182	1.27	938111
98	12349	923427	1.32	935776
99	12657	923051	1.35	935708
100	13119	922724	1.40	935843
101	13414	919083	1.44	932497
102	13877	914572	1.49	928449
103	14167	915604	1.52	929771
104	14768	911724	1.59	926492
105	15316	909603	1.66	924919
106	15837	908370	1.71	924207
107	16663	910766	1.80	927429
108	17244	911432	1.86	928676
109	17727	907585	1.92	925312
110	26600	912978	2.83	939578
111	26449	909103	2.83	935552

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	30283	4286851	0.70	4317134
2	29948	4277238	0.70	4307186
3	30509	4259072	0.71	4289581
4	32488	4249102	0.76	4281590
5	33411	4253650	0.78	4287061
6	31718	4261630	0.74	4293348
7	30834	4283608	0.71	4314442
8	31264	4262598	0.73	4293862
9	31526	4298876	0.73	4330402
10	32004	4288025	0.74	4320029
11	32436	4304747	0.75	4337183
12	32321	4293880	0.75	4326201
13	31843	4303764	0.73	4335607
14	31543	4287473	0.73	4319016
15	31170	4290866	0.72	4322036
16	33140	4297065	0.77	4330205
17	32827	4273058	0.76	4305885
18	32055	4294099	0.74	4326154
19	31630	4307839	0.73	4339469
20	31384	4303015	0.72	4334399
21	32022	4301444	0.74	4333466
22	32182	4321472	0.74	4353654
23	32506	4282446	0.75	4314952
24	32235	4299258	0.74	4331493
25	32196	4324948	0.74	4357144
26	31331	4308649	0.72	4339980
27	32466	4303750	0.75	4336216
28	32484	4311831	0.75	4344315
29	32552	4288481	0.75	4321033
30	32598	4283262	0.76	4315860
31	31878	4302154	0.74	4334032
32	31791	4306619	0.73	4338410
33	31844	4304124	0.73	4335968
34	33078	4308255	0.76	4341333
35	33022	4302746	0.76	4335768
36	32540	4304442	0.75	4336982
37	31668	4313109	0.73	4344777
38	32025	4315592	0.74	4347617
39	32562	4302841	0.75	4335403
40	32750	4329678	0.75	4362428
41	32824	4320882	0.75	4353706
42	32901	4321550	0.76	4354451
43	32200	4321205	0.74	4353405
44	32032	4317761	0.74	4349793
