CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	76541	653020	10.49	729561
2	76074	648622	10.50	724696
3	76808	646849	10.61	723657
4	77539	651686	10.63	729225
5	77712	644098	10.77	721810
6	76225	647203	10.54	723428
7	77232	647569	10.66	724801
8	77431	646272	10.70	723703
9	77024	654261	10.53	731285
10	78862	661355	10.65	740217
11	78273	656250	10.66	734523
12	78305	654558	10.68	732863
13	78699	658446	10.68	737145
14	78583	652681	10.75	731264
15	78473	653733	10.72	732206
16	78603	650866	10.78	729469
17	78550	654374	10.72	732924
18	78818	655735	10.73	734553
19	78873	656136	10.73	735009
20	78219	659104	10.61	737323
21	78883	654014	10.76	732897
22	79272	665264	10.65	744536
23	78384	652244	10.73	730628
24	79134	656800	10.75	735934
25	79102	649263	10.86	728365
26	78458	650867	10.76	729325
27	79167	650139	10.86	729306
28	79267	652229	10.84	731496
29	78518	653568	10.73	732086
30	79279	649667	10.88	728946
31	79468	657923	10.78	737391
32	79326	657740	10.76	737066
33	80026	658307	10.84	738333
34	80403	656605	10.91	737008
35	79178	653395	10.81	732573
36	78885	654268	10.76	733153
37	80142	656032	10.89	736174
38	79626	657733	10.80	737359
39	79552	656307	10.81	735859
40	79496	657380	10.79	736876
41	79967	655756	10.87	735723
42	79905	658194	10.83	738099
43	80020	659282	10.82	739302
44	79908	659527	10.81	739435
45	79040	656133	10.75	735173
46	80638	657319	10.93	737957
47	80725	657856	10.93	738581
48	81609	658871	11.02	740480
49	80600	658607	10.90	739207
50	80420	657889	10.89	738309
51	80708	658101	10.92	738809
52	79747	655899	10.84	735646
53	80222	661420	10.82	741642
54	79920	656755	10.85	736675
55	80041	659728	10.82	739769
56	80751	657335	10.94	738086
57	81321	657544	11.01	738865
58	80232	656222	10.89	736454
59	80893	655375	10.99	736268
60	80479	655507	10.93	735986
61	81530	657693	11.03	739223
62	81615	658168	11.03	739783
63	81516	657175	11.04	738691
64	80639	660082	10.89	740721
65	81255	656793	11.01	738048
66	80966	656213	10.98	737179
67	80815	655894	10.97	736709
68	81155	654561	11.03	735716
69	81633	656670	11.06	738303
70	80451	654838	10.94	735289
71	81095	657708	10.98	738803
72	80944	654965	11.00	735909
73	81404	656424	11.03	737828
74	82170	655127	11.14	737297
75	80720	649201	11.06	729921
76	80675	649289	11.05	729964
77	80829	646853	11.11	727682
78	81618	649669	11.16	731287
79	81601	652705	11.11	734306
80	81957	651922	11.17	733879
81	81169	651886	11.07	733055
82	81615	651601	11.13	733216
83	81663	650771	11.15	732434
84	81788	651380	11.16	733168
85	82149	649147	11.23	731296
86	81277	648942	11.13	730219
87	82045	650647	11.20	732692
88	82330	649450	11.25	731780
89	82642	647964	11.31	730606
90	82123	647575	11.25	729698
91	82211	645463	11.30	727674
92	83087	643604	11.43	726691
93	82518	642717	11.38	725235
94	82937	643683	11.41	726620
95	82902	642363	11.43	725265
96	82730	639508	11.45	722238
97	82987	637937	11.51	720924
98	82935	637293	11.52	720228
99	83334	635381	11.59	718715
100	82895	637205	11.51	720100
101	83425	634976	11.61	718401
102	84015	635010	11.68	719025
103	83470	629839	11.70	713309
104	83769	629836	11.74	713605
105	83860	627679	11.79	711539
106	83948	627709	11.80	711657
107	84648	625541	11.92	710189
108	84726	622796	11.98	707522
109	84822	621304	12.01	706126
110	85099	616538	12.13	701637
111	94836	627221	13.13	722057

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5842	1001721	0.58	1007563
2	5982	998476	0.60	1004458
3	5616	998508	0.56	1004124
4	5835	989335	0.59	995170
5	5970	985501	0.60	991471
6	5889	983073	0.60	988962
7	5908	995641	0.59	1001549
8	5860	989601	0.59	995461
9	5728	999224	0.57	1004952
10	5859	1003777	0.58	1009636
11	5963	1002713	0.59	1008676
12	5917	1008469	0.58	1014386
13	5936	1014592	0.58	1020528
14	5780	1006066	0.57	1011846
15	6034	1004093	0.60	1010127
16	6135	1011524	0.60	1017659
17	6086	1000226	0.60	1006312
18	5816	1004422	0.58	1010238
19	5966	1009108	0.59	1015074
20	5888	1007959	0.58	1013847
21	6005	1009511	0.59	1015516
22	5946	1010945	0.58	1016891
23	5958	1005662	0.59	1011620
24	5937	1007977	0.59	1013914
25	5921	1010975	0.58	1016896
26	6088	1006810	0.60	1012898
27	6290	1010449	0.62	1016739
28	5896	1008183	0.58	1014079
29	5918	1005099	0.59	1011017
30	6159	1006956	0.61	1013115
31	6138	1013679	0.60	1019817
32	6033	1018208	0.59	1024241
33	6057	1016117	0.59	1022174
34	6286	1017059	0.61	1023345
35	6058	1013518	0.59	1019576
36	5869	1014160	0.58	1020029
37	6111	1016181	0.60	1022292
38	6031	1018262	0.59	1024293
39	6134	1011118	0.60	1017252
40	6021	1016675	0.59	1022696
41	6113	1015452	0.60	1021565
42	6293	1016834	0.62	1023127
43	6144	1022222	0.60	1028366
44	6183	1016271	0.60	1022454
45	6180	1018078	0.60	1024258
46	6188	1024418	0.60	1030606
47	6231	1022669	0.61	1028900
48	6193	1014322	0.61	1020515
49	6315	1016065	0.62	1022380
50	6545	1013815	0.64	1020360
51	6344	1013872	0.62	1020216
52	6655	1017842	0.65	1024497
53	6650	1014554	0.65	1021204
54	6704	1015627	0.66	1022331
55	6866	1015942	0.67	1022808
56	6568	1013027	0.64	1019595
57	6873	1013744	0.67	1020617
58	6976	1016611	0.68	1023587
59	6900	1013981	0.68	1020881
60	6925	1013787	0.68	1020712
61	6992	1014079	0.68	1021071
62	7039	1010971	0.69	1018010
63	7065	1013218	0.69	1020283
64	7360	1014001	0.72	1021361
65	7233	1012167	0.71	1019400
66	7291	1012109	0.72	1019400
67	7398	1014595	0.72	1021993
68	7353	1014004	0.72	1021357
69	7653	1012683	0.75	1020336
70	7814	1013836	0.76	1021650
71	7944	1008735	0.78	1016679
72	8087	1009779	0.79	1017866
73	8212	1010122	0.81	1018334
74	8171	1007690	0.80	1015861
75	8004	1008806	0.79	1016810
76	8534	1011004	0.84	1019538
77	8753	1008660	0.86	1017413
78	8899	1010786	0.87	1019685
79	9060	1011128	0.89	1020188
80	9297	1008492	0.91	1017789
81	9394	1006228	0.92	1015622
82	9612	1007052	0.95	1016664
83	9699	1000967	0.96	1010666
84	9872	1004386	0.97	1014258
85	10232	1001232	1.01	1011464
86	10644	1002161	1.05	1012805
87	10819	1001392	1.07	1012211
88	11410	1002377	1.13	1013787
89	11519	997804	1.14	1009323
90	11659	996432	1.16	1008091
91	12299	996640	1.22	1008939
92	12383	993915	1.23	1006298
93	13047	990130	1.30	1003177
94	13362	991605	1.33	1004967
95	13674	988160	1.36	1001834
96	14290	986651	1.43	1000941
97	14532	983334	1.46	997866
98	15056	978345	1.52	993401
99	15490	978307	1.56	993797
100	16566	976503	1.67	993069
101	16912	972480	1.71	989392
102	17211	969651	1.74	986862
103	18107	967259	1.84	985366
104	18703	962503	1.91	981206
105	19239	958622	1.97	977861
106	20156	959275	2.06	979431
107	21323	958647	2.18	979970
