CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	85820	648942	11.68	734762
2	85158	639827	11.75	724985
3	87829	640114	12.07	727943
4	87070	624349	12.24	711419
5	86974	625088	12.21	712062
6	86379	632982	12.01	719361
7	86537	642442	11.87	728979
8	87496	641986	11.99	729482
9	88656	651713	11.97	740369
10	90603	661099	12.05	751702
11	88149	655265	11.86	743414
12	88191	645987	12.01	734178
13	89284	647521	12.12	736805
14	89697	639617	12.30	729314
15	89702	640308	12.29	730010
16	90738	644622	12.34	735360
17	88843	647480	12.07	736323
18	89625	655160	12.03	744785
19	90840	656493	12.16	747333
20	91635	662086	12.16	753721
21	90751	658203	12.12	748954
22	91909	671551	12.04	763460
23	91266	652439	12.27	743705
24	91584	649096	12.36	740680
25	90180	636409	12.41	726589
26	90611	641902	12.37	732513
27	91321	649658	12.32	740979
28	91964	658219	12.26	750183
29	91490	661899	12.14	753389
30	92427	657242	12.33	749669
31	92322	664318	12.20	756640
32	92207	666252	12.16	758459
33	93240	664910	12.30	758150
34	93583	659663	12.42	753246
35	91976	648162	12.43	740138
36	91984	652256	12.36	744240
37	94016	660563	12.46	754579
38	92429	660965	12.27	753394
39	92166	664188	12.19	756354
40	93760	664672	12.36	758432
41	93773	664098	12.37	757871
42	93421	666765	12.29	760186
43	94368	666489	12.40	760857
44	94010	664272	12.40	758282
45	92470	658836	12.31	751306
46	94939	664096	12.51	759035
47	95686	673252	12.44	768938
48	95831	669548	12.52	765379
49	93952	670498	12.29	764450
50	94590	671342	12.35	765932
51	96499	672028	12.56	768527
52	94388	671097	12.33	765485
53	94189	668898	12.34	763087
54	92877	658100	12.37	750977
55	93747	663926	12.37	757673
56	94349	660566	12.50	754915
57	95700	664719	12.59	760419
58	94633	669056	12.39	763689
59	94434	666814	12.41	761248
60	95741	671819	12.47	767560
61	96549	668932	12.61	765481
62	96202	668488	12.58	764690
63	95201	666984	12.49	762185
64	94593	666893	12.42	761486
65	94455	663107	12.47	757562
66	94602	659296	12.55	753898
67	94807	657974	12.59	752781
68	95529	665321	12.56	760850
69	94967	667201	12.46	762168
70	94957	667494	12.45	762451
71	95461	676236	12.37	771697
72	94953	670242	12.41	765195
73	95219	668755	12.46	763974
74	95262	660514	12.60	755776
75	94445	650058	12.69	744503
76	93226	649661	12.55	742887
77	94890	649866	12.74	744756
78	94903	653392	12.68	748295
79	96009	663690	12.64	759699
80	94775	669515	12.40	764290
81	95405	664734	12.55	760139
82	94947	662788	12.53	757735
83	95201	658864	12.63	754065
84	95235	657901	12.65	753136
85	95634	654978	12.74	750612
86	94199	648267	12.69	742466
87	93939	651471	12.60	745410
88	94461	649868	12.69	744329
89	94739	653357	12.66	748096
90	94177	655563	12.56	749740
91	94989	656727	12.64	751716
92	96295	652203	12.87	748498
93	94873	646780	12.79	741653
94	93956	643534	12.74	737490
95	94582	638406	12.90	732988
96	93816	636054	12.85	729870
97	94227	634264	12.93	728491
98	94735	634205	13.00	728940
99	94318	636510	12.91	730828
100	94724	639724	12.90	734448
101	94221	639052	12.85	733273
102	94932	636803	12.97	731735
103	94331	636111	12.91	730442
104	95112	629445	13.13	724557
105	94030	624546	13.09	718576
106	94440	621801	13.19	716241
107	95638	618046	13.40	713684
108	95682	614279	13.48	709961
109	94875	613033	13.40	707908
110	96161	614028	13.54	710189
111	105275	626633	14.38	731908

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5930	951372	0.62	957302
2	5948	958466	0.62	964414
3	5772	950365	0.60	956137
4	5924	944044	0.62	949968
5	6174	936331	0.66	942505
6	5830	929584	0.62	935414
7	5907	944295	0.62	950202
8	6003	929343	0.64	935346
9	5723	943834	0.60	949557
10	6005	950785	0.63	956790
11	5945	950818	0.62	956763
12	5936	963234	0.61	969170
13	5981	971365	0.61	977346
14	6074	968159	0.62	974233
15	6144	966376	0.63	972520
16	6178	966084	0.64	972262
17	6145	957161	0.64	963306
18	5938	957966	0.62	963904
19	5989	964195	0.62	970184
20	6030	960486	0.62	966516
21	5941	966551	0.61	972492
22	5915	969041	0.61	974956
23	6049	972256	0.62	978305
24	6051	984248	0.61	990299
25	5921	981157	0.60	987078
26	6001	967893	0.62	973894
27	6402	975216	0.65	981618
28	5934	968728	0.61	974662
29	5877	961046	0.61	966923
30	6050	962422	0.62	968472
31	6144	973373	0.63	979517
32	6201	986199	0.62	992400
33	5964	987488	0.60	993452
34	6459	997734	0.64	1004193
35	6148	990332	0.62	996480
36	6092	993480	0.61	999572
37	6079	986614	0.61	992693
38	6056	980119	0.61	986175
39	6201	977269	0.63	983470
40	6100	977168	0.62	983268
41	6245	981785	0.63	988030
42	6197	991835	0.62	998032
43	6295	999288	0.63	1005583
44	6187	994581	0.62	1000768
45	6362	1001821	0.63	1008183
46	6358	1010879	0.63	1017237
47	6277	1004752	0.62	1011029
48	6270	989244	0.63	995514
49	6302	984993	0.64	991295
50	6401	980236	0.65	986637
51	6425	989963	0.64	996388
52	6615	993474	0.66	1000089
53	6652	985759	0.67	992411
54	6731	988142	0.68	994873
55	6818	995237	0.68	1002055
56	6779	995573	0.68	1002352
57	6947	994246	0.69	1001193
58	6915	994719	0.69	1001634
59	6961	987984	0.70	994945
60	6932	991464	0.69	998396
61	7030	987926	0.71	994956
62	6923	980153	0.70	987076
63	7119	982773	0.72	989892
64	7201	988708	0.72	995909
65	7288	988736	0.73	996024
66	7247	985380	0.73	992627
67	7406	990793	0.74	998199
68	7133	985228	0.72	992361
69	7549	987098	0.76	994647
70	7730	989302	0.78	997032
71	7813	985609	0.79	993422
72	7667	988667	0.77	996334
73	7798	981619	0.79	989417
74	7951	975070	0.81	983021
75	8289	978453	0.84	986742
76	8317	985035	0.84	993352
77	8538	985080	0.86	993618
78	8618	987303	0.87	995921
79	9011	989356	0.90	998367
80	9010	981619	0.91	990629
81	9119	979943	0.92	989062
82	9229	978810	0.93	988039
83	9309	971192	0.95	980501
84	9666	975620	0.98	985286
85	9877	968434	1.01	978311
86	10198	969997	1.04	980195
87	10456	968252	1.07	978708
88	10716	970649	1.09	981365
89	11043	965198	1.13	976241
90	11419	964543	1.17	975962
91	11662	961949	1.20	973611
92	11980	961524	1.23	973504
93	12200	957367	1.26	969567
94	12725	954258	1.32	966983
95	13028	952600	1.35	965628
96	13763	947328	1.43	961091
97	13985	944848	1.46	958833
98	14596	937918	1.53	952514
99	14664	943123	1.53	957787
100	15630	940962	1.63	956592
101	16061	937693	1.68	953754
102	16580	932116	1.75	948696
103	17105	925322	1.81	942427
104	17564	920630	1.87	938194
105	18136	914047	1.95	932183
106	19278	916744	2.06	936022
107	20882	915563	2.23	936445
108	21232	913971	2.27	935203
109	22029	914600	2.35	936629
110	34446	920431	3.61	954877
111	33690	917698	3.54	951388

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	30018	4204246	0.71	4234264
2	29249	4174007	0.70	4203256
3	29468	4140214	0.71	4169682
4	30775	4096003	0.75	4126778
5	31768	4046577	0.78	4078345
6	30411	4059166	0.74	4089577
7	30119	4100179	0.73	4130298
8	30482	4094939	0.74	4125421
9	30212	4181504	0.72	4211716
10	31400	4225102	0.74	4256502
11	31551	4233254	0.74	4264805
12	31376	4207517	0.74	4238893
13	30868	4185178	0.73	4216046
14	30250	4144263	0.72	4174513
15	30106	4135781	0.72	4165887
16	31915	4120236	0.77	4152151
17	31437	4098728	0.76	4130165
18	31038	4144202	0.74	4175240
19	30843	4199329	0.73	4230172
20	30781	4233940	0.72	4264721
21	31813	4253955	0.74	4285768
22	31636	4255548	0.74	4287184
23	31884	4205825	0.75	4237709
24	31380	4222511	0.74	4253891
25	31545	4212413	0.74	4243958
26	29898	4156769	0.71	4186667
27	30941	4160738	0.74	4191679
28	31354	4162519	0.75	4193873
29	31644	4182811	0.75	4214455
30	31978	4209852	0.75	4241830
31	31741	4244862	0.74	4276603
32	31345	4247084	0.73	4278429
33	31053	4237284	0.73	4268337
34	31842	4248611	0.74	4280453
35	32145	4217243	0.76	4249388
36	31764	4194463	0.75	4226227
37	31618	4197279	0.75	4228897
38	30667	4189465	0.73	4220132
39	31449	4201942	0.74	4233391
40	32411	4276429	0.75	4308840
41	32744	4296858	0.76	4329602
42	32617	4297401	0.75	4330018
43	32358	4276557	0.75	4308915
44	32136	4247014	0.75	4279150
45	32050	4216271	0.75	4248321
46	32384	4209605	0.76	4241989
47	33135	4215057	0.78	4248192
48	33368	4245696	0.78	4279064
49	33529	4246500	0.78	4280029
50	33136	4248243	0.77	4281379
51	34070	4279458	0.79	4313528
52	34571	4287620	0.80	4322191
53	34877	4259232	0.81	4294109
54	35242	4234966	0.83	4270208
55	34505	4213588	0.81	4248093
56	34533	4199407	0.82	4233940
57	35116	4193096	0.83	4228212
58	35332	4215561	0.83	4250893
59	35998	4236768	0.84	4272766
60	36531	4256470	0.85	4293001
61	36651	4269626	0.85	4306277
62	36366	4258328	0.85	4294694
63	36450	4257603	0.85	4294053
64	37472	4252669	0.87	4290141
65	38331	4232132	0.90	4270463
66	37785	4207190	0.89	4244975
67	37790	4187928	0.89	4225718
68	37627	4191072	0.89	4228699
69	39095	4201957	0.92	4241052
70	39858	4233025	0.93	4272883
71	40355	4252075	0.94	4292430
72	41005	4255153	0.95	4296158
73	41149	4249291	0.96	4290440
74	41420	4227325	0.97	4268745
75	41795	4217304	0.98	4259099
76	42904	4197884	1.01	4240788
77	44365	4181584	1.05	4225949
78	44656	4175969	1.06	4220625
79	45283	4191505	1.07	4236788
80	46050	4203800	1.08	4249850
81	47357	4217952	1.11	4265309
82	48564	4232341	1.13	4280905
83	49371	4224583	1.16	4273954
84	51110	4219657	1.20	4270767
85	51845	4207471	1.22	4259316
86	53406	4170727	1.26	4224133
87	53611	4148980	1.28	4202591
88	55798	4114596	1.34	4170394
89	57329	4112384	1.37	4169713
90	59175	4121794	1.42	4180969
91	59704	4141805	1.42	4201509
92	61903	4153425	1.47	4215328
93	63696	4153224	1.51	4216920
94	66327	4147002	1.57	4213329
95	68621	4123445	1.64	4192066
96	71248	4092337	1.71	4163585
97	73095	4073547	1.76	4146642
98	75193	4060999	1.82	4136192
99	78335	4059945	1.89	4138280
100	81592	4072400	1.96	4153992
101	83459	4067854	2.01	4151313
102	87249	4067089	2.10	4154338
103	90231	4074524	2.17	4164755
104	93667	4063555	2.25	4157222
105	97489	4044761	2.35	4142250
106	103096	4020647	2.50	4123743
107	108216	3999187	2.63	4107403
108	118463	3991916	2.88	4110379
109	122102	3976874	2.98	4098976
110	124442	3963770	3.04	4088212
111	130469	3965025	3.19	4095494

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	76346	548042	12.23	624388
2	76062	538681	12.37	614743
3	75978	531639	12.50	607617
4	75416	528426	12.49	603842
5	74447	523897	12.44	598344
6	73639	518755	12.43	592394
7	73251	514873	12.46	588124
8	73184	514321	12.46	587505
9	72509	512761	12.39	585270
10	72063	509913	12.38	581976
11	71665	508772	12.35	580437
12	71528	505829	12.39	577357
13	71138	500210	12.45	571348
14	70713	495222	12.49	565935
15	70242	490486	12.53	560728
16	68643	484379	12.41	553022
17	68562	481315	12.47	549877
18	67967	478577	12.44	546544
19	67629	474941	12.46	542570
20	66972	473043	12.40	540015
21	66255	466841	12.43	533096
22	65778	464256	12.41	530034
23	65005	458533	12.42	523538
24	64096	453246	12.39	517342
25	63379	446989	12.42	510368
26	62545	442755	12.38	505300
27	61906	438231	12.38	500137
28	61063	432806	12.36	493869
29	60316	429638	12.31	489954
30	59624	425033	12.30	484657
31	58847	419209	12.31	478056
32	58897	417165	12.37	476062
33	57391	410663	12.26	468054
34	56948	406396	12.29	463344
35	56693	402427	12.35	459120
36	55579	396737	12.29	452316
37	55024	391991	12.31	447015
38	53972	388059	12.21	442031
39	53702	382618	12.31	436320
40	52887	378480	12.26	431367
41	52327	373598	12.29	425925
42	51768	370729	12.25	422497
43	51152	368132	12.20	419284
44	50340	362043	12.21	412383
45	49538	357756	12.16	407294
46	48874	352887	12.16	401761
47	48493	347330	12.25	395823
48	47978	342502	12.29	390480
49	46532	338179	12.10	384711
50	46709	333164	12.30	379873
51	45319	328496	12.12	373815
52	45415	325579	12.24	370994
53	44070	319192	12.13	363262
54	44217	316631	12.25	360848
55	43335	310826	12.24	354161
56	42508	307420	12.15	349928
57	42339	302695	12.27	345034
58	40991	298349	12.08	339340
59	40908	294748	12.19	335656
60	39723	290506	12.03	330229
61	39451	286784	12.09	326235
62	38526	282786	11.99	321312
63	38388	279295	12.08	317683
64	37471	272883	12.07	310354
65	37037	269722	12.07	306759
66	36698	266276	12.11	302974
67	36627	261437	12.29	298064
68	35471	258790	12.05	294261
69	34980	254952	12.06	289932
70	34493	250236	12.11	284729
71	33936	247193	12.07	281129
72	33206	243542	12.00	276748
73	32999	240306	12.07	273305
74	32100	237415	11.91	269515
75	31804	232505	12.03	264309
76	31457	228855	12.08	260312
77	31129	226198	12.10	257327
78	30408	221478	12.07	251886
79	30032	219151	12.05	249183
80	29555	216470	12.01	246025
81	29236	213826	12.03	243062
82	28718	210274	12.02	238992
83	27840	206944	11.86	234784
84	27557	203192	11.94	230749
85	26939	199845	11.88	226784
86	26800	196377	12.01	223177
87	26212	193775	11.92	219987
88	25637	190894	11.84	216531
89	25368	188557	11.86	213925
90	24895	185478	11.83	210373
91	24582	182414	11.88	206996
92	24257	179244	11.92	203501
93	23917	176630	11.93	200547
94	23631	174821	11.91	198452
95	23085	173134	11.76	196219
96	22490	168767	11.76	191257
97	22288	166034	11.84	188322
98	22018	163928	11.84	185946
99	21661	160672	11.88	182333
100	21181	158794	11.77	179975
101	20886	156588	11.77	177474
102	20801	154526	11.86	175327
103	19922	151455	11.62	171377
104	19777	149099	11.71	168876
105	19719	147408	11.80	167127
106	19174	144748	11.70	163922
107	18798	142531	11.65	161329
108	18465	140247	11.63	158712
109	18163	138796	11.57	156959
110	18140	136175	11.76	154315
111	17713	134144	11.66	151857

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	11285	786914	1.41	798199
2	10163	785242	1.28	795405
3	7514	773537	0.96	781051
4	6726	767885	0.87	774611
5	6240	763964	0.81	770204
6	5679	756866	0.74	762545
7	5222	751196	0.69	756418
8	5026	747623	0.67	752649
9	4902	741363	0.66	746265
10	5006	735639	0.68	740645
11	4641	734513	0.63	739154
12	4554	727931	0.62	732485
13	4505	723222	0.62	727727
14	4479	717496	0.62	721975
15	4463	711570	0.62	716033
16	4280	704865	0.60	709145
17	4238	702198	0.60	706436
18	4184	697504	0.60	701688
19	4070	695055	0.58	699125
20	4018	688690	0.58	692708
21	3973	683458	0.58	687431
22	3918	676511	0.58	680429
23	3818	670485	0.57	674303
24	3848	665849	0.57	669697
25	3905	659041	0.59	662946
26	3984	652583	0.61	656567
27	3867	647725	0.59	651592
28	3821	638849	0.59	642670
29	3709	631867	0.58	635576
30	3666	627685	0.58	631351
31	3811	619425	0.61	623236
32	3624	614477	0.59	618101
33	3604	607015	0.59	610619
34	3733	601363	0.62	605096
35	3414	595090	0.57	598504
36	3381	588701	0.57	592082
37	3401	580320	0.58	583721
38	3370	574702	0.58	578072
39	3319	568795	0.58	572114
40	3279	561583	0.58	564862
41	3279	555166	0.59	558445
42	3362	547004	0.61	550366
43	3261	540676	0.60	543937
44	3096	534611	0.58	537707
45	3125	528603	0.59	531728
46	3040	523698	0.58	526738
47	2868	516430	0.55	519298
48	3038	511371	0.59	514409
49	2829	506734	0.56	509563
50	2982	499111	0.59	502093
51	2832	491007	0.57	493839
52	2893	485570	0.59	488463
53	2938	479922	0.61	482860
54	2710	472824	0.57	475534
55	2773	467315	0.59	470088
56	2653	461873	0.57	464526
57	2656	455260	0.58	457916
