CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	71021	649787	9.85	720808
2	71789	648532	9.97	720321
3	71638	640574	10.06	712212
4	72496	634288	10.26	706784
5	71543	629416	10.21	700959
6	71778	631813	10.20	703591
7	71640	635602	10.13	707242
8	71589	637089	10.10	708678
9	72713	648700	10.08	721413
10	73863	658898	10.08	732761
11	72977	650872	10.08	723849
12	73296	648896	10.15	722192
13	72350	648485	10.04	720835
14	72004	641990	10.08	713994
15	72746	641840	10.18	714586
16	72997	637351	10.28	710348
17	72363	639828	10.16	712191
18	72796	641489	10.19	714285
19	72998	646998	10.14	719996
20	73292	650855	10.12	724147
21	73120	646590	10.16	719710
22	73580	656798	10.07	730378
23	72769	645121	10.14	717890
24	73363	640310	10.28	713673
25	72599	628842	10.35	701441
26	72285	631265	10.27	703550
27	72706	632824	10.31	705530
28	72470	637609	10.21	710079
29	72492	642812	10.13	715304
30	72919	645343	10.15	718262
31	73382	648835	10.16	722217
32	73010	643590	10.19	716600
33	73684	644931	10.25	718615
34	74011	642847	10.32	716858
35	73201	640759	10.25	713960
36	72850	637923	10.25	710773
37	73070	639323	10.26	712393
38	72789	642951	10.17	715740
39	72419	639653	10.17	712072
40	72689	640281	10.20	712970
41	72904	644960	10.16	717864
42	73309	650713	10.13	724022
43	72971	645801	10.15	718772
44	73886	645227	10.27	719113
45	72695	639547	10.21	712242
46	73992	638863	10.38	712855
47	73573	638399	10.33	711972
48	74327	643214	10.36	717541
49	74084	645132	10.30	719216
50	72754	644573	10.14	717327
51	73506	639338	10.31	712844
52	72955	641462	10.21	714417
53	73572	647097	10.21	720669
54	73283	643308	10.23	716591
55	72808	642203	10.18	715011
56	72941	636912	10.28	709853
57	73721	638359	10.35	712080
58	73477	636780	10.35	710257
59	73458	637918	10.33	711376
60	73387	640246	10.28	713633
61	73959	642006	10.33	715965
62	74365	641351	10.39	715716
63	73536	642629	10.27	716165
64	73455	642579	10.26	716034
65	73404	639092	10.30	712496
66	74144	636576	10.43	710720
67	74129	639426	10.39	713555
