CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	71402	650929	9.88	722331
2	71323	648427	9.91	719750
3	72386	640117	10.16	712503
4	71735	629851	10.22	701586
5	71521	620957	10.33	692478
6	71334	627413	10.21	698747
7	71643	636202	10.12	707845
8	72395	642002	10.13	714397
9	73264	653298	10.08	726562
10	74246	660650	10.10	734896
11	73142	652897	10.07	726039
12	72466	649631	10.04	722097
13	72451	646912	10.07	719363
14	73206	636984	10.31	710190
15	72980	636863	10.28	709843
16	73120	633453	10.35	706573
17	72871	637508	10.26	710379
18	72550	642168	10.15	714718
19	73463	648990	10.17	722453
20	74646	657830	10.19	732476
21	73946	654333	10.15	728279
22	74313	662113	10.09	736426
23	73567	647954	10.20	721521
24	74049	639989	10.37	714038
25	72805	629119	10.37	701924
26	72961	627890	10.41	700851
27	73565	633509	10.40	707074
28	73312	643058	10.23	716370
29	73044	648342	10.13	721386
30	74182	648815	10.26	722997
31	74109	652020	10.21	726129
32	73773	650454	10.19	724227
33	73883	650465	10.20	724348
34	75145	646975	10.41	722120
35	73720	639675	10.33	713395
36	73884	637612	10.38	711496
37	73857	640280	10.34	714137
38	73887	644022	10.29	717909
39	73227	644114	10.21	717341
40	73517	649798	10.16	723315
41	74153	653395	10.19	727548
42	74561	654088	10.23	728649
43	74536	651848	10.26	726384
44	74818	651299	10.30	726117
45	73607	641280	10.30	714887
46	74526	643009	10.39	717535
47	75295	645177	10.45	720472
48	75402	648278	10.42	723680
49	74972	651636	10.32	726608
50	74232	649425	10.26	723657
51	74875	651430	10.31	726305
52	74280	653775	10.20	728055
53	74280	655735	10.18	730015
54	74156	644815	10.31	718971
55	74113	641522	10.36	715635
56	74326	640618	10.40	714944
57	75436	642985	10.50	718421
58	74158	647892	10.27	722050
59	75254	648332	10.40	723586
60	74833	654366	10.26	729199
61	75100	651286	10.34	726386
62	75317	651029	10.37	726346
63	75485	649055	10.42	724540
64	75442	650733	10.39	726175
65	74756	643954	10.40	718710
66	74589	638675	10.46	713264
67	74727	643429	10.41	718156
68	75717	646665	10.48	722382
69	75404	650564	10.39	725968
70	75282	648428	10.40	723710
71	75059	653874	10.30	728933
72	74854	655526	10.25	730380
73	75357	650892	10.38	726249
74	75310	643552	10.48	718862
75	73762	632775	10.44	706537
76	74163	632030	10.50	706193
77	75056	630421	10.64	705477
78	74999	637684	10.52	712683
79	76254	645832	10.56	722086
80	75777	650682	10.43	726459
81	75824	648882	10.46	724706
82	76383	650563	10.51	726946
83	75585	645340	10.48	720925
84	75581	643524	10.51	719105
85	75971	640608	10.60	716579
86	75596	634357	10.65	709953
87	75601	631289	10.69	706890
88	75508	628484	10.73	703992
89	75766	634113	10.67	709879
90	75907	639560	10.61	715467
91	76627	646772	10.59	723399
92	77098	645784	10.67	722882
93	77087	642318	10.72	719405
94	76474	637993	10.70	714467
95	76536	629290	10.84	705826
96	75847	623755	10.84	699602
97	76297	622037	10.93	698334
98	76363	621197	10.95	697560
99	76725	620417	11.01	697142
100	77208	627038	10.96	704246
101	77284	632861	10.88	710145
102	77453	634230	10.88	711683
103	77768	630355	10.98	708123
104	77792	626821	11.04	704613
105	78240	621914	11.17	700154
106	77829	615762	11.22	693591
107	78041	609975	11.34	688016
108	77991	606906	11.39	684897
109	78688	606563	11.48	685251
110	79498	607830	11.57	687328
111	87650	622679	12.34	710329

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5585	973092	0.57	978677
2	5639	971386	0.58	977025
3	5456	962743	0.56	968199
4	5799	955183	0.60	960982
5	5931	949358	0.62	955289
6	5770	953087	0.60	958857
7	5811	968998	0.60	974809
8	5840	961815	0.60	967655
9	5597	968289	0.57	973886
10	5705	972549	0.58	978254
11	5719	973332	0.58	979051
12	5773	974955	0.59	980728
13	5714	983250	0.58	988964
14	5675	980126	0.58	985801
15	5803	975949	0.59	981752
16	6003	979684	0.61	985687
17	5785	965641	0.60	971426
18	5644	969214	0.58	974858
19	5730	977668	0.58	983398
20	5714	976860	0.58	982574
21	5867	977853	0.60	983720
22	5725	983059	0.58	988784
23	5822	979465	0.59	985287
24	5639	986874	0.57	992513
25	5788	987454	0.58	993242
26	5744	975113	0.59	980857
27	6030	978424	0.61	984454
28	5784	978086	0.59	983870
29	5854	974742	0.60	980596
30	5941	971503	0.61	977444
31	6086	978221	0.62	984307
32	5788	987473	0.58	993261
33	5815	989024	0.58	994839
34	6088	997989	0.61	1004077
35	5926	992296	0.59	998222
36	5946	990590	0.60	996536
37	5898	988101	0.59	993999
38	5762	984411	0.58	990173
39	5978	979982	0.61	985960
40	5771	981750	0.58	987521
41	5842	982130	0.59	987972
42	5833	988720	0.59	994553
43	5886	1000725	0.58	1006611
44	6028	998227	0.60	1004255
45	6018	999027	0.60	1005045
46	5971	1002746	0.59	1008717
47	6034	1002112	0.60	1008146
48	5971	991574	0.60	997545
49	6142	987917	0.62	994059
50	6092	975758	0.62	981850
51	6276	980049	0.64	986325
52	6185	991984	0.62	998169
53	6049	990009	0.61	996058
54	6471	992219	0.65	998690
55	6532	995580	0.65	1002112
56	6537	998517	0.65	1005054
57	6666	997050	0.66	1003716
58	6471	995207	0.65	1001678
59	6597	989915	0.66	996512
60	6797	983575	0.69	990372
61	6758	983400	0.68	990158
62	6749	980794	0.68	987543
63	6768	986065	0.68	992833
64	6883	991210	0.69	998093
65	7035	989179	0.71	996214
66	7043	992766	0.70	999809
67	7167	995980	0.71	1003147
68	6950	995698	0.69	1002648
69	7125	985601	0.72	992726
70	7196	985348	0.73	992544
71	7223	984937	0.73	992160
72	7313	986573	0.74	993886
73	7420	984397	0.75	991817
74	7491	982426	0.76	989917
75	7758	983968	0.78	991726
76	7814	987623	0.78	995437
77	7934	987272	0.80	995206
78	8203	987959	0.82	996162
79	8359	989952	0.84	998311
80	8342	985176	0.84	993518
81	8736	979748	0.88	988484
82	8679	980072	0.88	988751
83	8695	973179	0.89	981874
